rec_time	UTC	Dikablis Professional_Eye Data_Original_Pupil X	Dikablis Professional_Eye Data_Original_Pupil Y	Dikablis Professional_Eye Data_Original_Left Eye_Pupil X	Dikablis Professional_Eye Data_Original_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional_Eye Data_Original_Right Eye_Pupil Y
00:00:00.056	1440181474703	181.421	161.717			200.266	160.28
00:00:00.064	1440181474711			162.575	163.154		
00:00:00.072	1440181474719	181.399	162.285			200.152	160.864
00:00:00.080	1440181474727			162.647	163.706		
00:00:00.089	1440181474736	181.513	161.717			200.339	160.277
00:00:00.097	1440181474744			162.686	163.156		
00:00:00.106	1440181474753	181.447	162.288			200.331	160.802
00:00:00.114	1440181474761			162.562	163.774		
00:00:00.122	1440181474769	181.428	161.657			200.265	160.297
00:00:00.130	1440181474777			162.592	163.017		
00:00:00.139	1440181474786	181.412	162.305			200.174	160.864
00:00:00.147	1440181474794			162.65	163.746		
00:00:00.156	1440181474803	181.456	161.787			200.275	160.359
00:00:00.164	1440181474811			162.637	163.215		
00:00:00.172	1440181474819	181.44	162.393			200.205	161.126
00:00:00.180	1440181474827			162.676	163.659		
00:00:00.189	1440181474836	181.336	161.778			200.162	160.394
00:00:00.197	1440181474844			162.51	163.162		
00:00:00.206	1440181474853	180.86	162.425			199.511	160.975
00:00:00.214	1440181474861			162.208	163.875		
00:00:00.222	1440181474869	181.131	161.884			199.716	160.501
00:00:00.230	1440181474877			162.547	163.267		
00:00:00.239	1440181474886	181.176	162.452			199.881	161.033
00:00:00.247	1440181474894			162.472	163.872		
00:00:00.256	1440181474903	181.094	161.826			199.707	160.413
00:00:00.264	1440181474911			162.481	163.239		
00:00:00.272	1440181474919	181.13	162.478			199.824	161.163
00:00:00.280	1440181474927			162.437	163.793		
00:00:00.289	1440181474936	181.131	161.86			199.864	160.446
00:00:00.297	1440181474944			162.398	163.273		
00:00:00.306	1440181474953	181.19	162.36			199.887	160.899
00:00:00.314	1440181474961			162.492	163.822		
00:00:00.322	1440181474969	181.122	161.792			199.761	160.373
00:00:00.330	1440181474977			162.483	163.211		
00:00:00.339	1440181474986	181.162	162.351			199.856	160.872
00:00:00.347	1440181474994			162.469	163.83		
00:00:00.356	1440181475003	181.12	161.782			199.809	160.323
00:00:00.364	1440181475011			162.431	163.24		
00:00:00.372	1440181475019	181.219	162.264			199.903	160.833
00:00:00.380	1440181475027			162.536	163.694		
00:00:00.389	1440181475036	181.086	161.793			199.714	160.361
00:00:00.397	1440181475044			162.457	163.225		
00:00:00.406	1440181475053	181.16	162.346			199.902	160.838
00:00:00.414	1440181475061			162.417	163.853		
00:00:00.422	1440181475069	181.094	161.803			199.792	160.263
00:00:00.430	1440181475077			162.396	163.342		
00:00:00.439	1440181475086	181.202	162.399			199.858	160.98
00:00:00.447	1440181475094			162.546	163.817		
00:00:00.456	1440181475103	181.189	161.807			199.898	160.267
00:00:00.464	1440181475111			162.48	163.346		
00:00:00.472	1440181475119	181.195	162.319			199.859	160.778
00:00:00.480	1440181475127			162.53	163.859		
00:00:00.489	1440181475136	181.173	161.762			199.898	160.189
00:00:00.497	1440181475144			162.448	163.335		
00:00:00.506	1440181475153	181.24	162.311			199.856	160.735
00:00:00.514	1440181475161			162.625	163.887		
00:00:00.522	1440181475169	181.284	161.798			199.986	160.229
00:00:00.530	1440181475177			162.583	163.368		
00:00:00.539	1440181475186	181.3	162.357			199.971	160.838
00:00:00.547	1440181475194			162.63	163.876		
00:00:00.556	1440181475203	181.247	161.724			199.964	160.149
00:00:00.564	1440181475211			162.53	163.299		
00:00:00.572	1440181475219	181.197	162.321			199.908	160.799
00:00:00.580	1440181475227			162.485	163.843		
00:00:00.589	1440181475236	181.214	161.768			199.919	160.227
00:00:00.597	1440181475244			162.509	163.309		
00:00:00.606	1440181475253	181.252	162.304			199.884	160.742
00:00:00.614	1440181475261			162.62	163.867		
00:00:00.622	1440181475269	181.203	161.587			199.92	160.063
00:00:00.630	1440181475277			162.487	163.111		
00:00:00.639	1440181475286	181.201	162.26			199.919	160.775
00:00:00.647	1440181475294			162.484	163.745		
00:00:00.656	1440181475303	181.123	161.615			199.802	160.077
00:00:00.664	1440181475311			162.443	163.153		
00:00:00.672	1440181475319	181.162	162.237			199.854	160.661
00:00:00.680	1440181475327			162.47	163.812		
00:00:00.689	1440181475336	181.216	161.589			199.909	160.036
00:00:00.697	1440181475344			162.523	163.142		
00:00:00.706	1440181475353	181.17	162.246			199.91	160.735
00:00:00.714	1440181475361			162.431	163.757		
00:00:00.722	1440181475369	181.23	161.738			199.978	160.225
00:00:00.730	1440181475377			162.482	163.252		
00:00:00.739	1440181475386	180.867	162.132			199.589	160.703
00:00:00.747	1440181475394			162.146	163.561		
00:00:00.756	1440181475403	180.806	161.387			199.411	159.967
00:00:00.764	1440181475411			162.2	162.807		
00:00:00.772	1440181475419	180.696	161.961			199.394	160.616
00:00:00.780	1440181475427			161.998	163.305		
00:00:00.789	1440181475436	180.582	161.421			199.291	160.034
00:00:00.797	1440181475444			161.873	162.809		
00:00:00.806	1440181475453	180.587	162.029			199.213	160.633
00:00:00.814	1440181475461			161.962	163.424		
00:00:00.822	1440181475469	180.629	161.458			199.354	160.113
00:00:00.830	1440181475477			161.904	162.802		
00:00:00.839	1440181475486	180.663	162.134			199.317	160.783
00:00:00.847	1440181475494			162.008	163.485		
00:00:00.856	1440181475503	180.715	161.559			199.362	160.034
00:00:00.864	1440181475511			162.068	163.084		
00:00:00.872	1440181475519	180.789	162.121			199.479	160.669
00:00:00.880	1440181475527			162.1	163.574		
00:00:00.889	1440181475536	180.837	161.523			199.638	160.1
00:00:00.897	1440181475544			162.035	162.947		
00:00:00.906	1440181475553	180.812	162.167			199.547	160.691
00:00:00.914	1440181475561			162.077	163.642		
00:00:00.922	1440181475569	180.868	161.565			199.607	160.082
00:00:00.930	1440181475577			162.129	163.048		
00:00:00.939	1440181475586	180.907	162.198			199.627	160.721
00:00:00.947	1440181475594			162.188	163.675		
00:00:00.956	1440181475603	180.849	161.699			199.6	160.3
00:00:00.964	1440181475611			162.099	163.098		
00:00:00.972	1440181475619	180.859	162.227			199.646	160.781
00:00:00.980	1440181475627			162.072	163.672		
00:00:00.989	1440181475636	180.857	161.762			199.593	160.341
00:00:00.997	1440181475644			162.121	163.184		
00:00:01.006	1440181475653	180.886	162.298			199.681	160.784
00:00:01.014	1440181475661			162.091	163.811		
00:00:01.022	1440181475669	180.861	161.817			199.622	160.329
00:00:01.030	1440181475677			162.1	163.304		
00:00:01.039	1440181475686	180.889	162.312			199.671	160.834
00:00:01.047	1440181475694			162.108	163.789		
00:00:01.056	1440181475703	180.834	161.788			199.64	160.352
00:00:01.064	1440181475711			162.027	163.223		
00:00:01.072	1440181475719	180.913	162.423			199.713	160.953
00:00:01.080	1440181475727			162.114	163.893		
00:00:01.089	1440181475736	180.894	161.847			199.661	160.341
00:00:01.097	1440181475744			162.127	163.354		
00:00:01.106	1440181475753	180.963	162.443			199.77	160.963
00:00:01.114	1440181475761			162.157	163.922		
00:00:01.122	1440181475769	180.953	161.815			199.753	160.425
00:00:01.130	1440181475777			162.154	163.206		
00:00:01.139	1440181475786	180.973	162.477			199.795	160.925
00:00:01.147	1440181475794			162.151	164.029		
00:00:01.156	1440181475803	180.957	161.824			199.735	160.384
00:00:01.164	1440181475811			162.179	163.264		
00:00:01.172	1440181475819	181.008	162.382			199.842	160.893
00:00:01.180	1440181475827			162.173	163.871		
00:00:01.189	1440181475836	180.892	161.808			199.677	160.368
00:00:01.197	1440181475844			162.106	163.249		
00:00:01.206	1440181475853	180.982	162.383			199.787	160.866
00:00:01.214	1440181475861			162.177	163.901		
00:00:01.222	1440181475869	181.012	161.832			199.892	160.365
00:00:01.230	1440181475877			162.132	163.299		
00:00:01.239	1440181475886	181.047	162.405			199.935	160.932
00:00:01.247	1440181475894			162.158	163.878		
00:00:01.256	1440181475903	181.012	161.799			199.84	160.319
00:00:01.264	1440181475911			162.185	163.278		
00:00:01.272	1440181475919	181.09	162.624			199.84	161.077
00:00:01.280	1440181475927			162.341	164.171		
00:00:01.289	1440181475936	181.09	162.624			199.84	161.077
00:00:01.297	1440181475944			162.341	164.171		
00:00:01.306	1440181475953	181.09	162.624			199.84	161.077
00:00:01.314	1440181475961			162.341	164.171		
00:00:01.322	1440181475969	181.09	162.624			199.84	161.077
00:00:01.330	1440181475977			162.341	164.171		
00:00:01.339	1440181475986	181.09	162.624			199.84	161.077
00:00:01.347	1440181475994			162.341	164.171		
00:00:01.356	1440181476003	181.09	162.624			199.84	161.077
00:00:01.364	1440181476011			162.341	164.171		
00:00:01.372	1440181476019	181.09	162.624			199.84	161.077
00:00:01.380	1440181476027			162.341	164.171		
00:00:01.389	1440181476036	181.09	162.624			199.84	161.077
00:00:01.397	1440181476044			162.341	164.171		
00:00:01.406	1440181476053	181.09	162.624			199.84	161.077
00:00:01.414	1440181476061			162.341	164.171		
00:00:01.422	1440181476069	181.09	162.624			199.84	161.077
00:00:01.430	1440181476077			162.341	164.171		
00:00:01.439	1440181476086	181.09	162.624			199.84	161.077
00:00:01.447	1440181476094			162.341	164.171		
00:00:01.456	1440181476103	181.09	162.624			199.84	161.077
00:00:01.464	1440181476111			162.341	164.171		
00:00:01.472	1440181476119	181.09	162.624			199.84	161.077
00:00:01.480	1440181476127			162.341	164.171		
00:00:01.489	1440181476136	181.09	162.624			199.84	161.077
