
Trajectories
120
,,Head:RForeHead,,,Head:RTemple,,,Head:LForeHead,,,Head:LTemple,,,Head:REye,,,Head:LEye,,,CalibrationPane:DLabCal1,,,CalibrationPane:DLabCal2,,,CalibrationPane:DLabCal3,,,CalibrationPane:DLabCal4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-129.471,214.684,1696.14,-221.58,207.925,1643.2,-87.3311,328.669,1704.68,-153.454,403.431,1655.36,-105.65,236.286,1616.47,-75.6105,313.688,1625.97,411.959,226.023,1634.86,324.304,-18.1305,1636.13,317.237,-16.5058,1433.5,405.535,226.773,1434.33
2,0,-129.498,214.637,1696.14,-221.614,207.877,1643.2,-87.3577,328.618,1704.7,-153.467,403.381,1655.38,-105.667,236.244,1616.48,-75.6011,313.612,1626,411.964,226.032,1634.86,324.309,-18.1391,1636.13,317.255,-16.5224,1433.48,405.543,226.768,1434.32
3,0,-129.516,214.59,1696.13,-221.641,207.833,1643.19,-87.3884,328.566,1704.72,-153.487,403.329,1655.4,-105.677,236.193,1616.47,-75.6198,313.564,1626.02,411.976,226.02,1634.87,324.326,-18.1362,1636.13,317.251,-16.5159,1433.5,405.539,226.779,1434.34
4,0,-129.549,214.544,1696.13,-221.659,207.788,1643.18,-87.4186,328.517,1704.73,-153.529,403.294,1655.43,-105.7,236.159,1616.48,-75.6393,313.504,1626.03,411.992,226.014,1634.86,324.34,-18.1435,1636.13,317.264,-16.5317,1433.49,405.554,226.776,1434.33
5,0,-129.567,214.499,1696.13,-221.687,207.745,1643.17,-87.447,328.463,1704.75,-153.534,403.237,1655.45,-105.722,236.108,1616.5,-75.6348,313.437,1626.06,412.02,226.004,1634.86,324.352,-18.1507,1636.13,317.264,-16.5247,1433.49,405.567,226.77,1434.32
6,0,-129.581,214.476,1696.11,-221.719,207.713,1643.16,-87.4773,328.428,1704.75,-153.561,403.179,1655.47,-105.734,236.07,1616.51,-75.669,313.397,1626.08,412.021,225.998,1634.88,324.381,-18.1607,1636.12,317.273,-16.5208,1433.5,405.552,226.767,1434.34
7,0,-129.599,214.451,1696.09,-221.744,207.668,1643.16,-87.5081,328.384,1704.76,-153.589,403.115,1655.47,-105.747,236.026,1616.5,-75.6904,313.36,1626.08,412.023,225.999,1634.87,324.393,-18.1706,1636.1,317.288,-16.5277,1433.49,405.569,226.776,1434.32
8,0,-129.61,214.431,1696.08,-221.767,207.626,1643.16,-87.5279,328.339,1704.76,-153.622,403.058,1655.48,-105.762,235.985,1616.52,-75.7116,313.315,1626.08,412.042,225.999,1634.85,324.413,-18.1797,1636.09,317.29,-16.5284,1433.49,405.584,226.765,1434.32
9,0,-129.62,214.406,1696.06,-221.792,207.591,1643.16,-87.5427,328.302,1704.78,-153.643,403.005,1655.49,-105.767,235.955,1616.52,-75.7498,313.281,1626.08,412.016,226.005,1634.86,324.404,-18.1849,1636.08,317.284,-16.5223,1433.5,405.58,226.758,1434.33
