rec_time	UTC	Dikablis Professional_Eye Data_Original_Left Eye_Pupil X	Dikablis Professional_Eye Data_Original_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional_Eye Data_Original_Right Eye_Pupil Y
00:00:00.067	1443463499919	165.065	161.578		
00:00:00.071	1443463499923				
00:00:00.083	1443463499935	164.918	161.026		
00:00:00.088	1443463499940			205.077	155.114
00:00:00.100	1443463499952	164.958	161.575		
00:00:00.104	1443463499956			205.162	154.421
00:00:00.117	1443463499969	164.823	160.851		
00:00:00.121	1443463499973			205.193	155.155
00:00:00.133	1443463499985	164.907	161.481		
00:00:00.137	1443463499989				
00:00:00.138	1443463499990			205.043	154.592
00:00:00.150	1443463500002	164.845	161.106		
00:00:00.154	1443463500006			205.271	155.22
00:00:00.167	1443463500019	165.23	161.638		
00:00:00.171	1443463500023			205.294	154.525
00:00:00.183	1443463500035	164.984	161.498		
00:00:00.188	1443463500040			205.315	155.167
00:00:00.200	1443463500052	164.984	161.498		
00:00:00.204	1443463500056			205.315	155.167
00:00:00.217	1443463500069	164.984	161.498		
00:00:00.221	1443463500073			205.315	155.167
00:00:00.233	1443463500085	164.984	161.498		
00:00:00.237	1443463500089				
00:00:00.238	1443463500090			205.315	155.167
00:00:00.250	1443463500102	164.953	160.937		
00:00:00.254	1443463500106			205.315	155.167
00:00:00.267	1443463500119	165.01	161.384		
00:00:00.271	1443463500123			205.333	154.535
00:00:00.283	1443463500135	165.044	160.821		
00:00:00.288	1443463500140			205.359	155.097
00:00:00.300	1443463500152	165.17	161.545		
00:00:00.304	1443463500156			205.341	154.603
00:00:00.317	1443463500169	164.983	161.019		
00:00:00.321	1443463500173			205.378	155.068
00:00:00.333	1443463500185	165.157	161.439		
00:00:00.337	1443463500189				
00:00:00.338	1443463500190			205.408	154.641
00:00:00.350	1443463500202	165.151	160.941		
00:00:00.354	1443463500206			205.288	155.09
00:00:00.367	1443463500219	165.079	161.429		
00:00:00.371	1443463500223			205.462	154.609
00:00:00.383	1443463500235	165.13	160.903		
00:00:00.388	1443463500240			205.306	155.156
00:00:00.400	1443463500252	165.117	161.443		
00:00:00.404	1443463500256			205.444	154.575
00:00:00.417	1443463500269	165.2	160.872		
00:00:00.421	1443463500273			205.405	155.102
00:00:00.433	1443463500285	165.239	161.479		
00:00:00.437	1443463500289				
00:00:00.438	1443463500290			205.499	154.503
00:00:00.450	1443463500302	165.145	160.847		
00:00:00.454	1443463500306			205.507	155.115
00:00:00.467	1443463500319	165.301	161.443		
00:00:00.471	1443463500323			205.525	154.538
00:00:00.483	1443463500335	165.318	160.817		
00:00:00.488	1443463500340			205.561	155.08
00:00:00.500	1443463500352	165.335	161.393		
00:00:00.504	1443463500356			205.524	154.556
00:00:00.517	1443463500369	165.222	160.841		
00:00:00.521	1443463500373			205.509	155.18
00:00:00.533	1443463500385	164.979	161.322		
00:00:00.537	1443463500389				
00:00:00.538	1443463500390			205.366	154.298
00:00:00.550	1443463500402	165.217	160.364		
00:00:00.554	1443463500406			205.229	154.786
00:00:00.567	1443463500419	165.287	161.021		
00:00:00.571	1443463500423			205.342	154.15
00:00:00.583	1443463500435	165.26	160.526		
00:00:00.588	1443463500440			205.124	154.83
00:00:00.600	1443463500452	165.147	161.115		
00:00:00.604	1443463500456			205.28	154.152
00:00:00.617	1443463500469	165.094	160.459		
00:00:00.621	1443463500473			205.187	154.775
00:00:00.633	1443463500485	165.142	161.168		
00:00:00.637	1443463500489				
00:00:00.638	1443463500490			205.298	154.082
00:00:00.650	1443463500502	165.097	160.43		
00:00:00.654	1443463500506			205.141	154.704
00:00:00.667	1443463500519	165.245	161.096		
00:00:00.671	1443463500523			205.256	154.076
00:00:00.683	1443463500535	165.203	160.382		
00:00:00.688	1443463500540			205.125	154.699
00:00:00.700	1443463500552	165.169	160.882		
00:00:00.704	1443463500556			205.239	154.002
00:00:00.717	1443463500569	165.254	160.42		
00:00:00.721	1443463500573			205.095	154.532
00:00:00.733	1443463500585	165.216	160.833		
00:00:00.737	1443463500589				
00:00:00.738	1443463500590			205.173	153.894
00:00:00.750	1443463500602	165.035	160.256		
00:00:00.754	1443463500606			205.202	154.486
00:00:00.767	1443463500619	165.069	160.735		
00:00:00.771	1443463500623			205.036	153.775
00:00:00.783	1443463500635	165.071	160.375		
00:00:00.788	1443463500640			204.985	154.523
00:00:00.800	1443463500652	165.031	160.858		
00:00:00.804	1443463500656			205.017	153.796
00:00:00.817	1443463500669	165.082	160.151		
00:00:00.821	1443463500673			204.96	154.387
00:00:00.833	1443463500685	164.998	160.721		
00:00:00.837	1443463500689				
00:00:00.838	1443463500690			204.945	153.768
00:00:00.850	1443463500702	165.253	160.195		
00:00:00.854	1443463500706			205.054	154.394
00:00:00.867	1443463500719	165.131	160.667		
00:00:00.871	1443463500723			204.912	153.767
00:00:00.883	1443463500735	165.176	160.172		
00:00:00.888	1443463500740			205.165	154.249
00:00:00.900	1443463500752	165.195	160.798		
00:00:00.904	1443463500756			205.049	153.589
00:00:00.917	1443463500769	165.221	160.13		
00:00:00.921	1443463500773			205.05	154.263
00:00:00.933	1443463500785	165.145	160.774		
00:00:00.937	1443463500789				
00:00:00.938	1443463500790			204.986	153.707
00:00:00.950	1443463500802	165.298	160.135		
00:00:00.954	1443463500806			205.134	154.219
00:00:00.967	1443463500819	165.212	160.743		
00:00:00.971	1443463500823			205.024	153.683
00:00:00.983	1443463500835	165.282	160.02		
00:00:00.988	1443463500840			204.941	154.342
00:00:01.000	1443463500852	165.154	160.786		
00:00:01.004	1443463500856			204.908	153.691
00:00:01.017	1443463500869	165.273	160.157		
00:00:01.021	1443463500873			205.031	154.29
00:00:01.033	1443463500885	165.202	160.668		
00:00:01.037	1443463500889				
00:00:01.038	1443463500890			205.028	153.701
00:00:01.050	1443463500902	165.064	160.133		
00:00:01.054	1443463500906			204.979	154.293
00:00:01.067	1443463500919	165.052	160.7		
00:00:01.071	1443463500923			204.965	153.695
00:00:01.083	1443463500935	165.207	160.246		
00:00:01.088	1443463500940			204.997	154.246
00:00:01.100	1443463500952	165.045	160.813		
00:00:01.104	1443463500956			204.943	153.597
00:00:01.117	1443463500969	165.173	160.031		
00:00:01.121	1443463500973			204.96	154.225
00:00:01.133	1443463500985	165.054	160.701		
00:00:01.137	1443463500989				
00:00:01.138	1443463500990			204.982	153.55
00:00:01.150	1443463501002	165.306	160.151		
00:00:01.154	1443463501006			205.101	154.17
00:00:01.167	1443463501019	165.132	160.643		
00:00:01.171	1443463501023			205.029	153.617
00:00:01.183	1443463501035	165.269	160.11		
00:00:01.188	1443463501040			205.188	154.152
00:00:01.200	1443463501052	165.156	160.726		
00:00:01.204	1443463501056			204.935	153.732
00:00:01.217	1443463501069	165.075	160.228		
00:00:01.221	1443463501073			205.11	154.262
00:00:01.233	1443463501085	165.152	160.767		
00:00:01.237	1443463501089				
00:00:01.238	1443463501090			205.038	153.73
00:00:01.250	1443463501102	165.178	160.176		
00:00:01.254	1443463501106			205.114	154.216
00:00:01.267	1443463501119	165.152	160.768		
00:00:01.271	1443463501123			205.04	153.698
00:00:01.283	1443463501135	165.157	160.059		
00:00:01.288	1443463501140			205.207	154.16
00:00:01.300	1443463501152	165.085	160.751		
00:00:01.304	1443463501156			205.09	153.64
00:00:01.317	1443463501169	165.269	160.243		
00:00:01.321	1443463501173			205.158	154.245
00:00:01.333	1443463501185	165.206	160.837		
00:00:01.337	1443463501189				
00:00:01.338	1443463501190			205.228	154.169
00:00:01.350	1443463501202	165.206	160.837		
00:00:01.354	1443463501206			205.228	154.169
00:00:01.367	1443463501219	165.206	160.837		
00:00:01.371	1443463501223			205.228	154.169
00:00:01.383	1443463501235	165.175	160.128		
00:00:01.388	1443463501240			205.228	154.169
00:00:01.400	1443463501252	165.189	160.888		
00:00:01.404	1443463501256			205.144	153.551
00:00:01.417	1443463501269	165.163	160.215		
00:00:01.421	1443463501273			205.279	154.167
00:00:01.433	1443463501285	165.053	160.777		
00:00:01.437	1443463501289				
00:00:01.438	1443463501290			205.15	153.578
00:00:01.450	1443463501302	165.206	160.212		
00:00:01.454	1443463501306			205.181	154.164
00:00:01.467	1443463501319	165.257	160.887		
00:00:01.471	1443463501323			205.085	153.53
00:00:01.483	1443463501335	165.235	160.208		
00:00:01.488	1443463501340			205.313	154.178
00:00:01.500	1443463501352	165.254	160.885		
00:00:01.504	1443463501356			205.138	153.581
00:00:01.517	1443463501369	165.22	160.23		
00:00:01.521	1443463501373			205.229	154.19
00:00:01.533	1443463501385	165.35	160.693		
00:00:01.537	1443463501389				
00:00:01.538	1443463501390			205.163	153.422
00:00:01.550	1443463501402	165.359	160.138		
00:00:01.554	1443463501406			205.07	154.162
00:00:01.567	1443463501419	165.256	160.743		
00:00:01.571	1443463501423			205.06	153.472
00:00:01.583	1443463501435	165.309	160.104		
00:00:01.588	1443463501440			205.084	154.136
00:00:01.600	1443463501452	165.173	160.764		
00:00:01.604	1443463501456			204.963	153.528
00:00:01.617	1443463501469	165.182	160.154		
00:00:01.621	1443463501473			204.935	154.164
00:00:01.633	1443463501485	165.33	160.698		
00:00:01.637	1443463501489				
00:00:01.638	1443463501490			204.965	153.545
00:00:01.650	1443463501502	165.123	160.101		
00:00:01.654	1443463501506			204.952	154.166
00:00:01.667	1443463501519	165.295	160.689		
00:00:01.671	1443463501523			204.943	153.576
00:00:01.683	1443463501535	165.234	160.085		
00:00:01.688	1443463501540			204.955	154.245
00:00:01.700	1443463501552	165.444	160.747		
00:00:01.704	1443463501556			205.009	153.563
00:00:01.717	1443463501569	165.32	160.102		
00:00:01.721	1443463501573			204.942	154.247
00:00:01.733	1443463501585	165.363	160.739		
00:00:01.737	1443463501589				
00:00:01.738	1443463501590			204.898	153.622
00:00:01.750	1443463501602	165.105	160.188		
00:00:01.754	1443463501606			204.941	154.15
00:00:01.767	1443463501619	165.208	160.762		
00:00:01.771	1443463501623			204.959	153.48
00:00:01.783	1443463501635	165.274	160.083		
00:00:01.788	1443463501640			204.959	154.314
00:00:01.800	1443463501652	165.113	160.75		
00:00:01.804	1443463501656			204.939	153.484
00:00:01.817	1443463501669	165.21	160.079		
00:00:01.821	1443463501673			204.957	154.24
00:00:01.833	1443463501685	165.311	160.819		
00:00:01.837	1443463501689				
00:00:01.838	1443463501690			204.941	153.612
00:00:01.850	1443463501702	165.063	160.218		
00:00:01.854	1443463501706			204.896	154.283
00:00:01.867	1443463501719	165.151	160.806		
00:00:01.871	1443463501723			204.885	153.531
00:00:01.883	1443463501735	165.072	160.093		
00:00:01.888	1443463501740			204.996	154.215
00:00:01.900	1443463501752	165.05	160.733		
00:00:01.904	1443463501756			204.995	153.489
00:00:01.917	1443463501769	165.153	160.003		
00:00:01.921	1443463501773			204.998	154.238
00:00:01.933	1443463501785	165.211	160.676		
00:00:01.937	1443463501789				
00:00:01.938	1443463501790			204.927	153.537
00:00:01.950	1443463501802	165.025	159.97		
00:00:01.954	1443463501806			204.997	154.213
00:00:01.967	1443463501819	165.337	160.654		
00:00:01.971	1443463501823			205.037	153.37
00:00:01.983	1443463501835	165.113	159.921		
00:00:01.988	1443463501840			205.059	154.038
00:00:02.000	1443463501852	165.208	160.574		
00:00:02.004	1443463501856			205.033	153.353
00:00:02.017	1443463501869	165.114	159.843		
00:00:02.021	1443463501873			204.915	154.057
00:00:02.033	1443463501885	165.148	160.472		
00:00:02.037	1443463501889				
00:00:02.038	1443463501890			205.129	153.314
00:00:02.050	1443463501902	165.035	159.833		
00:00:02.054	1443463501906			204.974	153.944
00:00:02.067	1443463501919	165.093	160.526		
00:00:02.071	1443463501923			205.151	153.396
00:00:02.083	1443463501935	165.164	159.926		
00:00:02.088	1443463501940			205.006	153.915
00:00:02.100	1443463501952	165.196	160.432		
00:00:02.104	1443463501956			205.344	153.343
00:00:02.117	1443463501969	165.815	160.015		
00:00:02.121	1443463501973			205.957	154.125
00:00:02.133	1443463501985	165.589	160.586		
00:00:02.137	1443463501989				
00:00:02.138	1443463501990			205.474	153.387
00:00:02.150	1443463502002	165.565	160.016		
00:00:02.154	1443463502006			205.596	153.968
00:00:02.167	1443463502019	165.616	160.536		
00:00:02.171	1443463502023			205.469	153.399
00:00:02.183	1443463502035	165.562	159.998		
00:00:02.188	1443463502040			205.63	153.931
00:00:02.200	1443463502052	165.581	160.586		
00:00:02.204	1443463502056			205.51	153.363
00:00:02.217	1443463502069	165.651	159.953		
00:00:02.221	1443463502073			205.658	153.848
00:00:02.233	1443463502085	165.523	160.436		
00:00:02.237	1443463502089				
00:00:02.238	1443463502090			205.555	153.311
00:00:02.250	1443463502102	165.569	159.877		
00:00:02.254	1443463502106			205.632	153.897
00:00:02.267	1443463502119	165.549	160.556		
