rec_time	UTC	Dikablis Professional_Eye Data_Processed Data_Pupil X	Dikablis Professional_Eye Data_Processed Data_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil Y
00:00:00.053	1440788203920						
00:00:00.086	1440788203953						
00:00:00.119	1440788203986						
00:00:00.153	1440788204020						
00:00:00.186	1440788204053						
00:00:00.219	1440788204086						
00:00:00.253	1440788204120						
00:00:00.286	1440788204153						
00:00:00.319	1440788204186						
00:00:00.353	1440788204220						
00:00:00.386	1440788204253						
00:00:00.419	1440788204286						
00:00:00.453	1440788204320						
00:00:00.486	1440788204353						
00:00:00.519	1440788204386						
00:00:00.522	1440788204389	180.475	138.694			201.694	140.048
00:00:00.535	1440788204402			159.256	137.341		
00:00:00.538	1440788204405	180.558	138.003			201.798	139.375
00:00:00.551	1440788204418			159.319	136.632		
00:00:00.553	1440788204420						
00:00:00.555	1440788204422	180.562	138.654			201.714	140.075
00:00:00.568	1440788204435			159.41	137.233		
00:00:00.572	1440788204439	180.571	137.987			201.792	139.331
00:00:00.585	1440788204452			159.35	136.643		
00:00:00.586	1440788204453						
00:00:00.588	1440788204455	180.554	138.582			201.719	139.998
00:00:00.601	1440788204468			159.388	137.165		
00:00:00.605	1440788204472	180.691	137.965			201.978	139.383
00:00:00.618	1440788204485			159.404	136.547		
00:00:00.619	1440788204486						
00:00:00.622	1440788204489	180.575	138.607			201.764	140.052
00:00:00.635	1440788204502			159.385	137.161		
00:00:00.638	1440788204505	180.688	138.005			201.991	139.45
00:00:00.651	1440788204518			159.385	136.559		
00:00:00.653	1440788204520						
00:00:00.655	1440788204522	180.657	138.655			201.858	140.16
00:00:00.668	1440788204535			159.456	137.149		
00:00:00.672	1440788204539	180.657	138.006			201.932	139.449
00:00:00.685	1440788204552			159.381	136.562		
00:00:00.686	1440788204553						
00:00:00.688	1440788204555	180.594	138.564			201.814	140.09
00:00:00.701	1440788204568			159.373	137.039		
00:00:00.705	1440788204572	180.68	137.933			201.965	139.41
00:00:00.718	1440788204585			159.396	136.455		
00:00:00.719	1440788204586						
00:00:00.722	1440788204589	180.575	138.534			201.802	140.125
00:00:00.735	1440788204602			159.348	136.943		
00:00:00.738	1440788204605	180.644	137.892			201.926	139.449
00:00:00.751	1440788204618			159.361	136.336		
00:00:00.753	1440788204620						
00:00:00.755	1440788204622	180.535	138.495			201.707	140.033
00:00:00.768	1440788204635			159.364	136.958		
00:00:00.772	1440788204639	180.706	137.81			201.937	139.375
00:00:00.785	1440788204652			159.476	136.245		
00:00:00.786	1440788204653						
00:00:00.788	1440788204655	180.612	138.428			201.797	139.951
