rec_time	UTC	Dikablis Professional_Eye Data_Processed Data_Pupil X	Dikablis Professional_Eye Data_Processed Data_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil Y
00:00:00.034	1440787050147	178.961	137.56			201.331	140.833
00:00:00.039	1440787050152			156.59	134.287		
00:00:00.050	1440787050163	179.011	137.574			201.327	140.147
00:00:00.052	1440787050165						
00:00:00.055	1440787050168			156.695	135.001		
00:00:00.067	1440787050180	152.97	104.202			149.292	73.986
00:00:00.072	1440787050185			156.647	134.419		
00:00:00.084	1440787050197	178.929	137.693			201.207	140.232
00:00:00.085	1440787050198						
00:00:00.089	1440787050202			156.651	135.155		
00:00:00.100	1440787050213	178.906	137.661			201.147	140.798
00:00:00.105	1440787050218			156.664	134.524		
00:00:00.117	1440787050230	178.951	137.769			201.244	140.289
00:00:00.118	1440787050231						
00:00:00.122	1440787050235			156.658	135.249		
00:00:00.134	1440787050247	152.953	105.077			149.205	75.378
00:00:00.139	1440787050252			156.701	134.776		
00:00:00.150	1440787050263	178.987	137.888			201.204	140.367
00:00:00.151	1440787050264						
00:00:00.152	1440787050265						
00:00:00.155	1440787050268			156.77	135.41		
00:00:00.167	1440787050280	179.05	137.915			201.32	140.935
00:00:00.172	1440787050285			156.78	134.896		
00:00:00.184	1440787050297	179.087	137.926			201.262	140.301
00:00:00.185	1440787050298						
00:00:00.189	1440787050302			156.912	135.551		
00:00:00.200	1440787050313	179.011	138.005			201.117	141.015
00:00:00.205	1440787050318			156.906	134.994		
00:00:00.217	1440787050330	178.72	138.048			200.932	140.437
00:00:00.218	1440787050331						
00:00:00.222	1440787050335			156.509	135.66		
00:00:00.234	1440787050347	178.354	138.124			200.281	141.087
00:00:00.239	1440787050352			156.426	135.161		
00:00:00.250	1440787050363	178.564	137.987			200.653	140.344
00:00:00.251	1440787050364						
00:00:00.252	1440787050365						
00:00:00.255	1440787050368			156.476	135.63		
00:00:00.267	1440787050380	178.451	137.889			200.465	140.856
00:00:00.272	1440787050385			156.436	134.923		
00:00:00.284	1440787050397	178.512	137.836			200.525	140.173
00:00:00.285	1440787050398						
00:00:00.289	1440787050402			156.499	135.498		
00:00:00.300	1440787050413	178.578	137.868			200.493	140.791
00:00:00.305	1440787050418			156.663	134.945		
00:00:00.317	1440787050430	178.476	137.759			200.497	140.126
00:00:00.318	1440787050431						
00:00:00.322	1440787050435			156.456	135.392		
00:00:00.334	1440787050447	178.443	137.848			200.376	140.711
00:00:00.339	1440787050452			156.51	134.986		
00:00:00.350	1440787050463	178.387	137.713			200.314	140.075
00:00:00.352	1440787050465						
00:00:00.355	1440787050468			156.459	135.352		
00:00:00.367	1440787050480	178.383	137.762			200.264	140.676
00:00:00.372	1440787050485			156.501	134.848		
00:00:00.384	1440787050497	178.305	137.741			200.231	140.047
00:00:00.385	1440787050498						
00:00:00.389	1440787050502			156.378	135.435		
00:00:00.400	1440787050513	178.278	137.749			200.145	140.587
00:00:00.405	1440787050518			156.411	134.91		
00:00:00.417	1440787050530	178.341	137.791			200.267	140.006
00:00:00.418	1440787050531						
00:00:00.422	1440787050535			156.414	135.576		
00:00:00.434	1440787050547	178.309	137.722			200.197	140.549
00:00:00.439	1440787050552			156.422	134.895		
00:00:00.450	1440787050563	178.177	137.727			199.985	139.947
00:00:00.452	1440787050565						
00:00:00.455	1440787050568			156.368	135.506		
00:00:00.467	1440787050580	176.615	137.456			196.941	140.022
00:00:00.472	1440787050585			156.29	134.891		
00:00:00.484	1440787050597	178.112	137.804			199.944	139.992
00:00:00.485	1440787050598						
00:00:00.489	1440787050602			156.281	135.615		
00:00:00.500	1440787050613	176.496	137.569			196.752	140.228
00:00:00.505	1440787050618			156.239	134.909		
00:00:00.517	1440787050630	178.009	137.77			199.809	140.006
00:00:00.518	1440787050631						
00:00:00.522	1440787050635			156.209	135.535		
00:00:00.534	1440787050647	177.909	137.775			199.8	140.622
00:00:00.539	1440787050652			156.018	134.929		
00:00:00.550	1440787050663	177.792	137.846			199.641	140.087
00:00:00.552	1440787050665						
00:00:00.555	1440787050668			155.944	135.606		
00:00:00.567	1440787050680	177.837	137.925			199.657	140.784
00:00:00.572	1440787050685			156.016	135.066		
00:00:00.584	1440787050697	177.826	137.856			199.661	140.087
00:00:00.585	1440787050698						
00:00:00.589	1440787050702			155.992	135.626		
00:00:00.600	1440787050713	176.298	137.375			196.663	139.765
00:00:00.605	1440787050718			155.933	134.986		
00:00:00.617	1440787050730	177.823	137.854			199.707	140.06
00:00:00.618	1440787050731						
00:00:00.622	1440787050735			155.94	135.649		
00:00:00.634	1440787050747	177.816	137.954			199.703	140.838
00:00:00.639	1440787050752			155.93	135.07		
00:00:00.650	1440787050763	177.819	137.907			199.681	140.132
00:00:00.652	1440787050765						
00:00:00.655	1440787050768			155.957	135.683		
00:00:00.667	1440787050780	176.018	137.447			196.115	139.808
00:00:00.672	1440787050785			155.921	135.086		
00:00:00.684	1440787050797	177.836	137.918			199.796	140.134
00:00:00.685	1440787050798						
00:00:00.689	1440787050802			155.876	135.702		
00:00:00.700	1440787050813	176.301	137.09			196.768	139.129
00:00:00.705	1440787050818			155.833	135.052		
00:00:00.717	1440787050830	177.833	137.915			199.734	140.024
00:00:00.718	1440787050831						
00:00:00.722	1440787050835			155.932	135.805		
00:00:00.734	1440787050847	177.868	138.037			199.714	140.864
00:00:00.739	1440787050852			156.023	135.21		
00:00:00.750	1440787050863	177.905	138.03			199.773	140.216
00:00:00.752	1440787050865						
00:00:00.755	1440787050868			156.037	135.845		
00:00:00.767	1440787050880	177.914	138.068			199.725	140.873
