rec_time	UTC	Dikablis Professional_Eye Data_Original_Pupil X	Dikablis Professional_Eye Data_Original_Pupil Y	Dikablis Professional_Eye Data_Original_Left Eye_Pupil X	Dikablis Professional_Eye Data_Original_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional_Eye Data_Original_Right Eye_Pupil Y
00:00:00.035	1440787441381	175.389	128.578	154.141	124.104		
00:00:00.038	1440787441384					196.637	133.052
00:00:00.047	1440787441393						
00:00:00.051	1440787441397	175.425	129.228	154.227	124.757		
00:00:00.054	1440787441400					196.622	133.698
00:00:00.068	1440787441414	175.499	128.638	154.351	124.161		
00:00:00.071	1440787441417					196.646	133.115
00:00:00.080	1440787441426						
00:00:00.085	1440787441431	175.56	129.251	154.447	124.859		
00:00:00.088	1440787441434					196.672	133.643
00:00:00.101	1440787441447	175.593	128.668	154.461	124.249		
00:00:00.104	1440787441450					196.726	133.088
00:00:00.113	1440787441459						
00:00:00.118	1440787441464	175.463	129.223	154.39	124.791		
00:00:00.121	1440787441467					196.536	133.655
00:00:00.135	1440787441481	175.171	128.574	154.123	124.131		
00:00:00.138	1440787441484					196.22	133.018
00:00:00.146	1440787441492						
00:00:00.147	1440787441493						
00:00:00.151	1440787441497	175.572	129.166	154.6	124.676		
00:00:00.154	1440787441500					196.544	133.657
00:00:00.168	1440787441514	175.515	128.446	154.449	123.953		
00:00:00.171	1440787441517					196.58	132.939
00:00:00.180	1440787441526						
00:00:00.185	1440787441531	175.545	129.085	154.557	124.593		
00:00:00.188	1440787441534					196.532	133.578
00:00:00.201	1440787441547	175.521	128.442	154.437	123.938		
00:00:00.204	1440787441550					196.605	132.945
00:00:00.213	1440787441559						
00:00:00.218	1440787441564	175.557	129.039	154.503	124.572		
00:00:00.221	1440787441567					196.612	133.505
00:00:00.235	1440787441581	175.644	128.455	154.548	123.957		
00:00:00.238	1440787441584					196.741	132.954
00:00:00.246	1440787441592						
00:00:00.247	1440787441593						
00:00:00.251	1440787441597	175.595	129.095	154.498	124.529		
00:00:00.254	1440787441600					196.691	133.662
