rec_time	UTC	Dikablis Professional_Eye Data_Processed Data_Pupil X	Dikablis Professional_Eye Data_Processed Data_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil Y
00:00:00.012	1440787591953						
00:00:00.026	1440787591967	0	0	0	0	0	0
00:00:00.042	1440787591983	133.647	107.793	116.33	95.988	150.963	119.599
00:00:00.045	1440787591986						
00:00:00.059	1440787592000	136.554	107.716	119.131	96.194	153.978	119.237
00:00:00.076	1440787592017	139.54	109.152	122.21	97.906	156.871	120.399
00:00:00.078	1440787592019						
00:00:00.092	1440787592033	142.836	109.476	125.321	98.802	160.35	120.151
00:00:00.109	1440787592050	146.089	110.83	128.416	100.5	163.762	121.161
00:00:00.112	1440787592053						
00:00:00.126	1440787592067	149.475	111.143	131.614	101.133	167.337	121.153
00:00:00.142	1440787592083	152.427	112.729	134.612	102.888	170.241	122.57
00:00:00.145	1440787592086						
00:00:00.159	1440787592100	155.641	112.901	137.605	103.32	173.676	122.482
00:00:00.176	1440787592117	158.519	114.185	140.278	104.906	176.76	123.465
00:00:00.178	1440787592119						
00:00:00.192	1440787592133	160.904	114.501	142.564	105.462	179.244	123.54
00:00:00.209	1440787592150	163.242	115.897	144.777	107.157	181.707	124.638
00:00:00.212	1440787592153						
00:00:00.226	1440787592167	165.061	116.002	146.692	107.393	183.43	124.612
00:00:00.242	1440787592183	166.999	114.982	149.077	106.472	184.92	123.492
00:00:00.245	1440787592186						
00:00:00.259	1440787592200	169.041	115.26	151.175	107.065	186.906	123.455
00:00:00.276	1440787592217	170.317	117.242	152.2	109.392	188.434	125.092
00:00:00.278	1440787592219						
00:00:00.292	1440787592233	171.527	117.723	153.295	110.097	189.758	125.349
00:00:00.309	1440787592250	172.55	119.331	154.028	111.942	191.072	126.72
00:00:00.312	1440787592253						
00:00:00.326	1440787592267	173.27	119.783	154.512	112.516	192.028	127.051
00:00:00.342	1440787592283	173.972	121.413	155.212	114.328	192.733	128.498
00:00:00.345	1440787592286						
00:00:00.359	1440787592300	174.468	121.716	155.599	114.66	193.336	128.772
00:00:00.376	1440787592317	175.018	123.271	155.964	116.291	194.073	130.251
00:00:00.378	1440787592319						
00:00:00.392	1440787592333	175.474	123.331	156.285	116.361	194.662	130.301
00:00:00.409	1440787592350	175.909	124.514	156.661	117.602	195.158	131.425
00:00:00.412	1440787592353						
00:00:00.426	1440787592367	176.201	124.513	156.797	117.602	195.606	131.424
00:00:00.442	1440787592383	176.458	125.554	156.927	118.692	195.99	132.416
00:00:00.445	1440787592386						
00:00:00.459	1440787592400	176.833	125.328	157.175	118.45	196.492	132.207
00:00:00.476	1440787592417	177.189	126.408	157.491	119.593	196.886	133.223
00:00:00.478	1440787592419						
00:00:00.492	1440787592433	177.438	126.05	157.566	119.218	197.31	132.881
00:00:00.509	1440787592450	177.81	127.008	157.958	120.181	197.662	133.834
00:00:00.512	1440787592453						
00:00:00.526	1440787592467	178.015	126.651	158.067	119.867	197.963	133.436
00:00:00.542	1440787592483	178.398	127.345	158.325	120.615	198.471	134.075
00:00:00.545	1440787592486						
00:00:00.559	1440787592500	178.555	126.794	158.452	120.198	198.658	133.389
00:00:00.576	1440787592517	178.77	127.607	158.571	121.068	198.968	134.145
00:00:00.578	1440787592519						
00:00:00.592	1440787592533	178.956	127.046	158.725	120.559	199.188	133.533
00:00:00.609	1440787592550	179.033	127.729	158.772	121.336	199.294	134.123
00:00:00.612	1440787592553						
00:00:00.626	1440787592567	179.104	127.299	158.843	120.974	199.365	133.624
00:00:00.642	1440787592583	179.2	127.855	158.772	121.522	199.628	134.189
00:00:00.645	1440787592586						
00:00:00.659	1440787592600	179.055	127.382	158.609	121.129	199.501	133.636
00:00:00.676	1440787592617	179.169	127.622	158.826	121.322	199.512	133.922
00:00:00.678	1440787592619						
00:00:00.692	1440787592633	179.223	127.254	158.861	121.027	199.585	133.481
00:00:00.709	1440787592650	179.095	128.013	158.67	121.708	199.52	134.319
00:00:00.712	1440787592653						
00:00:00.726	1440787592667	178.91	127.516	158.567	121.274	199.253	133.758
00:00:00.742	1440787592683	178.846	128.192	158.379	121.9	199.314	134.483
00:00:00.745	1440787592686						
00:00:00.759	1440787592700	178.342	128.183	157.846	122.561	198.838	133.805
00:00:00.776	1440787592717	178.342	128.183	157.846	122.561	198.838	133.805
00:00:00.778	1440787592719						
00:00:00.792	1440787592733	178.342	128.183	157.846	122.561	198.838	133.805
00:00:00.809	1440787592750	178.342	128.183	157.846	122.561	198.838	133.805
00:00:00.812	1440787592753						
00:00:00.826	1440787592767	178.342	128.183	157.846	122.561	198.838	133.805
00:00:00.842	1440787592783	178.342	128.183	157.846	122.561	198.838	133.805
00:00:00.845	1440787592786						
00:00:00.859	1440787592800	178.342	128.183	157.846	122.561	198.838	133.805
00:00:00.876	1440787592817	178.342	128.183	157.846	122.561	198.838	133.805
00:00:00.878	1440787592819						
00:00:00.892	1440787592833	178.342	128.183	157.846	122.561	198.838	133.805
00:00:00.909	1440787592850	178.342	128.183	157.846	122.561	198.838	133.805
00:00:00.911	1440787592852						
00:00:00.912	1440787592853						
00:00:00.926	1440787592867	178.342	128.183	157.846	122.561	198.838	133.805
00:00:00.942	1440787592883	178.342	128.183	157.846	122.561	198.838	133.805
00:00:00.944	1440787592885						
00:00:00.945	1440787592886						
00:00:00.959	1440787592900	178.342	128.183	157.846	122.561	198.838	133.805
00:00:00.976	1440787592917	178.342	128.183	157.846	122.561	198.838	133.805
00:00:00.978	1440787592919						
00:00:00.992	1440787592933	178.342	128.183	157.846	122.561	198.838	133.805
00:00:01.009	1440787592950	178.342	128.183	157.846	122.561	198.838	133.805
00:00:01.012	1440787592953						
00:00:01.026	1440787592967	178.342	128.183	157.846	122.561	198.838	133.805
00:00:01.042	1440787592983	178.342	128.183	157.846	122.561	198.838	133.805
00:00:01.045	1440787592986						
00:00:01.059	1440787593000	178.342	128.183	157.846	122.561	198.838	133.805
00:00:01.076	1440787593017	178.342	128.183	157.846	122.561	198.838	133.805
00:00:01.078	1440787593019						
00:00:01.092	1440787593033	178.342	128.183	157.846	122.561	198.838	133.805
00:00:01.109	1440787593050	178.342	128.183	157.846	122.561	198.838	133.805
00:00:01.112	1440787593053						
00:00:01.126	1440787593067	178.342	128.183	157.846	122.561	198.838	133.805
00:00:01.142	1440787593083	178.342	128.183	157.846	122.561	198.838	133.805
00:00:01.145	1440787593086						
00:00:01.159	1440787593100	178.342	128.183	157.846	122.561	198.838	133.805
00:00:01.176	1440787593117	178.342	128.183	157.846	122.561	198.838	133.805
00:00:01.178	1440787593119						
00:00:01.192	1440787593133	178.342	128.183	157.846	122.561	198.838	133.805
00:00:01.209	1440787593150	178.342	128.183	157.846	122.561	198.838	133.805
00:00:01.212	1440787593153						
00:00:01.226	1440787593167	178.352	127.854	157.846	122.561	198.857	133.147
00:00:01.242	1440787593183	178.396	128.121	157.846	122.561	198.946	133.682
00:00:01.245	1440787593186						
00:00:01.259	1440787593200	178.341	127.292	157.689	121.789	198.993	132.796
00:00:01.276	1440787593217	178.373	127.803	157.713	122.275	199.033	133.33
00:00:01.278	1440787593219						
00:00:01.292	1440787593233	178.411	127.156	157.684	121.661	199.139	132.65
00:00:01.309	1440787593250	178.372	127.931	157.745	122.448	198.999	133.413
00:00:01.311	1440787593252						
00:00:01.312	1440787593253						
00:00:01.326	1440787593267	178.421	127.443	157.753	121.864	199.088	133.023
00:00:01.342	1440787593283	178.404	128.185	157.803	122.65	199.004	133.721
00:00:01.345	1440787593286						
00:00:01.359	1440787593300	178.406	127.665	157.76	122.113	199.052	133.216
00:00:01.376	1440787593317	178.381	128.121	157.598	122.576	199.164	133.666
00:00:01.378	1440787593319						
00:00:01.392	1440787593333	178.494	127.65	157.777	122.286	199.211	133.014
00:00:01.409	1440787593350	178.503	128.332	157.799	122.976	199.207	133.688
00:00:01.411	1440787593352						
00:00:01.412	1440787593353						
00:00:01.426	1440787593367	178.598	127.737	157.877	122.455	199.32	133.018
00:00:01.442	1440787593383	178.469	128.411	157.794	123.18	199.145	133.643
00:00:01.444	1440787593385						
00:00:01.445	1440787593386						
00:00:01.459	1440787593400	178.426	127.671	157.663	122.374	199.188	132.967
00:00:01.476	1440787593417	178.258	128.286	157.375	122.959	199.141	133.613
00:00:01.477	1440787593418						
00:00:01.478	1440787593419						
00:00:01.492	1440787593433	178.628	127.552	157.574	122.007	199.683	133.098
00:00:01.509	1440787593450	179.888	126.196	158.908	120.158	200.868	132.234
00:00:01.510	1440787593451						
00:00:01.512	1440787593453						
00:00:01.526	1440787593467	0	0	0	0	0	0
