rec_time	UTC	Dikablis Professional_Eye Data_Processed Data_Pupil X	Dikablis Professional_Eye Data_Processed Data_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil Y
00:00:00.018	1440787830268	176.916	130.423			195.168	133.029
00:00:00.023	1440787830273			158.663	127.817		
00:00:00.034	1440787830284	176.983	131.038			195.326	133.734
00:00:00.037	1440787830287						
00:00:00.039	1440787830289			158.641	128.343		
00:00:00.051	1440787830301	177.163	130.51			195.465	133.088
00:00:00.056	1440787830306			158.861	127.931		
00:00:00.068	1440787830318	177.07	131.062			195.475	133.735
00:00:00.070	1440787830320						
00:00:00.073	1440787830323			158.664	128.389		
00:00:00.084	1440787830334	177.2	130.459			195.64	133.133
00:00:00.089	1440787830339			158.759	127.784		
00:00:00.101	1440787830351	177.082	131.055			195.456	133.764
00:00:00.103	1440787830353						
00:00:00.106	1440787830356			158.708	128.347		
00:00:00.118	1440787830368	177.171	130.532			195.576	133.171
00:00:00.123	1440787830373			158.767	127.893		
00:00:00.134	1440787830384	177.13	131.139			195.504	133.792
00:00:00.137	1440787830387						
00:00:00.139	1440787830389			158.756	128.486		
00:00:00.151	1440787830401	177.019	130.559			195.431	133.21
00:00:00.156	1440787830406			158.606	127.908		
00:00:00.168	1440787830418	177.063	131.197			195.497	133.893
00:00:00.170	1440787830420						
00:00:00.173	1440787830423			158.629	128.501		
00:00:00.184	1440787830434	177.039	130.627			195.49	133.263
00:00:00.189	1440787830439			158.588	127.99		
00:00:00.201	1440787830451	177.057	131.2			195.502	133.943
00:00:00.203	1440787830453						
00:00:00.206	1440787830456			158.612	128.456		
00:00:00.218	1440787830468	177.047	130.613			195.484	133.252
00:00:00.223	1440787830473			158.61	127.973		
00:00:00.234	1440787830484	177.043	131.254			195.451	133.926
00:00:00.237	1440787830487						
00:00:00.239	1440787830489			158.634	128.583		
00:00:00.251	1440787830501	177.041	130.666			195.442	133.318
00:00:00.256	1440787830506			158.64	128.015		
00:00:00.268	1440787830518	177.049	131.272			195.527	133.854
00:00:00.270	1440787830520						
00:00:00.273	1440787830523			158.57	128.691		
00:00:00.284	1440787830534	176.995	130.64			195.401	133.281
00:00:00.289	1440787830539			158.59	127.998		
00:00:00.301	1440787830551	176.964	131.286			195.355	133.939
00:00:00.303	1440787830553						
00:00:00.306	1440787830556			158.572	128.632		
00:00:00.318	1440787830568	176.998	130.638			195.449	133.26
00:00:00.323	1440787830573			158.546	128.017		
00:00:00.334	1440787830584	176.908	131.332			195.36	133.995
00:00:00.337	1440787830587						
00:00:00.339	1440787830589			158.456	128.669		
00:00:00.351	1440787830601	176.85	130.618			195.236	133.277
00:00:00.356	1440787830606			158.465	127.958		
00:00:00.368	1440787830618	176.858	131.285			195.241	133.913
00:00:00.370	1440787830620						
00:00:00.373	1440787830623			158.474	128.657		
00:00:00.384	1440787830634	176.838	130.69			195.236	133.277
00:00:00.389	1440787830639			158.441	128.104		
00:00:00.401	1440787830651	176.775	131.28			195.167	133.896
00:00:00.403	1440787830653						
00:00:00.406	1440787830656			158.383	128.664		
00:00:00.418	1440787830668	176.481	130.699			194.891	133.331
00:00:00.423	1440787830673			158.071	128.066		
00:00:00.434	1440787830684	176.281	131.111			194.507	133.817
00:00:00.436	1440787830686						
00:00:00.437	1440787830687						
00:00:00.439	1440787830689			158.056	128.405		
00:00:00.451	1440787830701	176.354	130.628			194.659	133.316
00:00:00.456	1440787830706			158.05	127.941		
00:00:00.468	1440787830718	176.285	131.201			194.649	133.908
00:00:00.470	1440787830720						
00:00:00.473	1440787830723			157.92	128.494		
00:00:00.484	1440787830734	176.403	130.665			194.694	133.378
00:00:00.489	1440787830739			158.113	127.952		
00:00:00.501	1440787830751	176.394	131.19			194.736	133.863
00:00:00.503	1440787830753						
00:00:00.506	1440787830756			158.052	128.517		
00:00:00.518	1440787830768	176.426	130.631			194.759	133.332
00:00:00.523	1440787830773			158.093	127.931		
00:00:00.534	1440787830784	176.403	131.139			194.807	133.812
00:00:00.537	1440787830787						
00:00:00.539	1440787830789			158	128.465		
00:00:00.551	1440787830801	176.477	130.685			194.925	133.326
00:00:00.556	1440787830806			158.029	128.045		
00:00:00.568	1440787830818	176.543	131.176			194.927	133.826
00:00:00.570	1440787830820						
00:00:00.573	1440787830823			158.159	128.525		
00:00:00.584	1440787830834	176.605	130.632			194.96	133.371
00:00:00.589	1440787830839			158.25	127.893		
00:00:00.601	1440787830851	176.573	131.246			195.064	133.994
00:00:00.603	1440787830853						
00:00:00.606	1440787830856			158.082	128.498		
00:00:00.618	1440787830868	176.56	130.71			194.942	133.375
00:00:00.623	1440787830873			158.177	128.045		
00:00:00.634	1440787830884	176.563	131.249			195.04	133.953
00:00:00.637	1440787830887						
00:00:00.639	1440787830889			158.086	128.544		
00:00:00.651	1440787830901	176.585	130.56			195.102	133.173
00:00:00.656	1440787830906			158.069	127.947		
00:00:00.668	1440787830918	176.532	131.026			195.1	133.582
00:00:00.670	1440787830920						
00:00:00.673	1440787830923			157.963	128.47		
00:00:00.684	1440787830934	176.496	130.534			195.078	133.16
00:00:00.689	1440787830939			157.915	127.909		
00:00:00.701	1440787830951	176.414	131.152			195.027	133.674
00:00:00.703	1440787830953						
00:00:00.706	1440787830956			157.801	128.63		
00:00:00.718	1440787830968	176.395	130.617			194.963	133.095
00:00:00.723	1440787830973			157.827	128.139		
00:00:00.734	1440787830984	176.29	131.319			194.877	133.819
00:00:00.737	1440787830987						
00:00:00.739	1440787830989			157.703	128.819		
00:00:00.751	1440787831001	176.293	130.776			194.913	133.236
00:00:00.756	1440787831006			157.673	128.316		
00:00:00.768	1440787831018	176.195	131.506			194.825	134.043
00:00:00.770	1440787831020						
00:00:00.773	1440787831023			157.565	128.968		
00:00:00.784	1440787831034	176.055	131.112			194.655	133.547
00:00:00.789	1440787831039			157.455	128.677		
00:00:00.801	1440787831051	175.783	131.79			194.508	134.456
00:00:00.803	1440787831053						
00:00:00.806	1440787831056			157.057	129.125		
00:00:00.818	1440787831068	175.551	131.165			194.236	133.764
00:00:00.823	1440787831073			156.867	128.566		
00:00:00.834	1440787831084	175.52	131.873			194.278	134.586
00:00:00.837	1440787831087						
00:00:00.839	1440787831089			156.763	129.16		
00:00:00.851	1440787831101	175.372	131.183			194.041	133.856
00:00:00.856	1440787831106			156.702	128.509		
00:00:00.868	1440787831118	175.097	131.655			193.888	134.609
00:00:00.870	1440787831120						
00:00:00.873	1440787831123			156.307	128.702		
00:00:00.884	1440787831134	175.055	130.935			193.776	133.805
00:00:00.889	1440787831139			156.334	128.064		
00:00:00.901	1440787831151	175.184	131.516			193.875	134.471
00:00:00.903	1440787831153						
00:00:00.906	1440787831156			156.493	128.56		
00:00:00.918	1440787831168	175.141	130.902			193.826	133.972
00:00:00.923	1440787831173			156.455	127.833		
00:00:00.934	1440787831184	175.08	131.573			193.798	134.783
00:00:00.937	1440787831187						
00:00:00.939	1440787831189			156.362	128.364		
00:00:00.951	1440787831201	175.188	130.864			193.749	134.027
00:00:00.956	1440787831206			156.628	127.701		
00:00:00.968	1440787831218	175.235	131.489			193.886	134.724
00:00:00.970	1440787831220						
00:00:00.973	1440787831223			156.583	128.253		
00:00:00.984	1440787831234	175.319	130.865			193.979	134.129
00:00:00.989	1440787831239			156.658	127.601		
00:00:01.001	1440787831251	175.305	131.527			193.898	134.812
00:00:01.003	1440787831253						
00:00:01.006	1440787831256			156.712	128.241		
00:00:01.018	1440787831268	175.502	130.823			194.112	134.079
00:00:01.023	1440787831273			156.893	127.566		
00:00:01.034	1440787831284	175.557	131.378			194.16	134.732
00:00:01.037	1440787831287						
00:00:01.039	1440787831289			156.953	128.024		
00:00:01.051	1440787831301	175.837	130.741			194.558	134.108
00:00:01.056	1440787831306			157.116	127.375		
00:00:01.068	1440787831318	175.849	131.338			194.516	134.646
00:00:01.070	1440787831320						
00:00:01.073	1440787831323			157.182	128.031		
00:00:01.084	1440787831334	176.658	131.326			194.782	134.05
00:00:01.089	1440787831339			158.535	128.602		
00:00:01.101	1440787831351	177.164	131.696			195.793	134.79
00:00:01.103	1440787831353						
00:00:01.106	1440787831356			158.535	128.602		
00:00:01.118	1440787831368	177.164	131.696			195.793	134.79
00:00:01.123	1440787831373			158.535	128.602		
00:00:01.134	1440787831384	177.164	131.696			195.793	134.79
00:00:01.137	1440787831387						
00:00:01.139	1440787831389			158.535	128.602		
00:00:01.151	1440787831401	177.164	131.696			195.793	134.79
00:00:01.156	1440787831406			158.535	128.602		
00:00:01.168	1440787831418	177.164	131.696			195.793	134.79
00:00:01.170	1440787831420						
00:00:01.173	1440787831423			158.535	128.602		
00:00:01.184	1440787831434	177.164	131.696			195.793	134.79
00:00:01.189	1440787831439			158.535	128.602		
00:00:01.201	1440787831451	177.164	131.696			195.793	134.79
00:00:01.203	1440787831453						
00:00:01.206	1440787831456			158.535	128.602		
00:00:01.218	1440787831468	177.164	131.696			195.793	134.79
00:00:01.223	1440787831473			158.535	128.602		
00:00:01.234	1440787831484	177.164	131.696			195.793	134.79
00:00:01.237	1440787831487						
00:00:01.239	1440787831489			158.535	128.602		
00:00:01.251	1440787831501	177.164	131.696			195.793	134.79
00:00:01.256	1440787831506			158.535	128.602		
00:00:01.268	1440787831518	177.164	131.696			195.793	134.79
00:00:01.270	1440787831520						
00:00:01.273	1440787831523			158.535	128.602		
00:00:01.284	1440787831534	177.164	131.696			195.793	134.79
00:00:01.289	1440787831539			158.535	128.602		
00:00:01.301	1440787831551	177.164	131.696			195.793	134.79
00:00:01.303	1440787831553						
00:00:01.306	1440787831556			158.535	128.602		
00:00:01.318	1440787831568	177.164	131.696			195.793	134.79
00:00:01.323	1440787831573			158.535	128.602		
00:00:01.334	1440787831584	177.164	131.696			195.793	134.79
00:00:01.337	1440787831587						
00:00:01.339	1440787831589			158.535	128.602		
00:00:01.351	1440787831601	177.164	131.696			195.793	134.79
00:00:01.356	1440787831606			158.535	128.602		
00:00:01.368	1440787831618	177.164	131.696			195.793	134.79
00:00:01.370	1440787831620						
00:00:01.373	1440787831623			158.535	128.602		
00:00:01.384	1440787831634	177.164	131.696			195.793	134.79
00:00:01.389	1440787831639			158.535	128.602		
00:00:01.401	1440787831651	177.164	131.696			195.793	134.79
00:00:01.403	1440787831653						
00:00:01.406	1440787831656			158.535	128.602		
00:00:01.418	1440787831668	177.164	131.696			195.793	134.79
00:00:01.423	1440787831673			158.535	128.602		
00:00:01.434	1440787831684	177.164	131.696			195.793	134.79
00:00:01.437	1440787831687						
00:00:01.439	1440787831689			158.535	128.602		
00:00:01.451	1440787831701	177.164	131.696			195.793	134.79
00:00:01.456	1440787831706			158.535	128.602		
00:00:01.468	1440787831718	177.164	131.696			195.793	134.79
00:00:01.470	1440787831720						
00:00:01.473	1440787831723			158.535	128.602		
00:00:01.484	1440787831734	177.164	131.696			195.793	134.79
00:00:01.489	1440787831739			158.535	128.602		
00:00:01.501	1440787831751	177.164	131.696			195.793	134.79
00:00:01.503	1440787831753						
00:00:01.506	1440787831756			158.535	128.602		
00:00:01.518	1440787831768	177.164	131.696			195.793	134.79
00:00:01.523	1440787831773			158.535	128.602		
00:00:01.534	1440787831784	177.164	131.696			195.793	134.79
00:00:01.537	1440787831787						
00:00:01.539	1440787831789			158.535	128.602		
00:00:01.551	1440787831801	177.164	131.696			195.793	134.79
00:00:01.556	1440787831806			158.535	128.602		
00:00:01.568	1440787831818	177.164	131.696			195.793	134.79
00:00:01.570	1440787831820						
00:00:01.573	1440787831823			158.535	128.602		
00:00:01.584	1440787831834	177.051	131.148			195.714	134.18
00:00:01.589	1440787831839			158.388	128.116		
00:00:01.601	1440787831851	176.782	131.811			195.393	134.908
00:00:01.603	1440787831853						
00:00:01.606	1440787831856			158.17	128.714		
00:00:01.618	1440787831868	176.668	131.149			195.393	134.234
00:00:01.623	1440787831873			157.944	128.063		
00:00:01.634	1440787831884	176.549	131.882			195.276	134.992
00:00:01.637	1440787831887						
00:00:01.639	1440787831889			157.821	128.772		
00:00:01.651	1440787831901	176.429	131.262			195.095	134.357
00:00:01.656	1440787831906			157.763	128.168		
00:00:01.668	1440787831918	176.46	132.013			195.159	135.212
00:00:01.670	1440787831920						
00:00:01.673	1440787831923			157.761	128.814		
