rec_time	UTC	Dikablis Professional_Eye Data_Processed Data_Pupil X	Dikablis Professional_Eye Data_Processed Data_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil Y
00:00:00.018	1440786947727						
00:00:00.021	1440786947730	170.386	138.809			193.07	144.651
00:00:00.024	1440786947733			147.702	132.967		
00:00:00.037	1440786947746	170.483	138.797			193.083	145.405
00:00:00.040	1440786947749			147.883	132.189		
00:00:00.051	1440786947760						
00:00:00.054	1440786947763	170.476	138.857			193.193	144.74
00:00:00.057	1440786947766			147.758	132.975		
00:00:00.071	1440786947780	170.49	138.846			193.132	145.39
00:00:00.074	1440786947783			147.847	132.301		
00:00:00.084	1440786947793						
00:00:00.087	1440786947796	170.502	138.814			193.18	144.685
00:00:00.090	1440786947799			147.823	132.944		
00:00:00.104	1440786947813	170.487	138.898			193.121	145.42
00:00:00.107	1440786947816			147.854	132.377		
00:00:00.117	1440786947826						
00:00:00.118	1440786947827						
00:00:00.121	1440786947830	170.441	138.94			193.173	144.758
00:00:00.124	1440786947833			147.709	133.122		
00:00:00.137	1440786947846	170.455	138.884			193.124	145.437
00:00:00.140	1440786947849			147.786	132.331		
00:00:00.151	1440786947860						
00:00:00.154	1440786947863	170.578	138.881			193.296	144.762
00:00:00.157	1440786947866			147.859	132.999		
00:00:00.171	1440786947880	170.514	138.898			193.205	145.441
00:00:00.174	1440786947883			147.824	132.355		
00:00:00.184	1440786947893						
00:00:00.187	1440786947896	171.11	138.871			193.237	144.721
00:00:00.190	1440786947899			148.982	133.021		
00:00:00.204	1440786947913	171.484	139.053			193.986	145.085
00:00:00.207	1440786947916			148.982	133.021		
00:00:00.218	1440786947927						
00:00:00.221	1440786947930	171.484	139.053			193.986	145.085
00:00:00.224	1440786947933			148.982	133.021		
00:00:00.237	1440786947946	171.484	139.053			193.986	145.085
00:00:00.240	1440786947949			148.982	133.021		
00:00:00.251	1440786947960						
00:00:00.254	1440786947963	171.484	139.053			193.986	145.085
00:00:00.257	1440786947966			148.982	133.021		
00:00:00.271	1440786947980	171.484	139.053			193.986	145.085
00:00:00.274	1440786947983			148.982	133.021		
00:00:00.284	1440786947993						
00:00:00.287	1440786947996	171.484	139.053			193.986	145.085
00:00:00.290	1440786947999			148.982	133.021		
00:00:00.304	1440786948013	171.484	139.053			193.986	145.085
00:00:00.307	1440786948016			148.982	133.021		
00:00:00.317	1440786948026						
00:00:00.318	1440786948027						
00:00:00.321	1440786948030	171.484	139.053			193.986	145.085
00:00:00.324	1440786948033			148.982	133.021		
00:00:00.337	1440786948046	171.484	139.053			193.986	145.085
00:00:00.340	1440786948049			148.982	133.021		
00:00:00.350	1440786948059						
00:00:00.351	1440786948060						
00:00:00.354	1440786948063	171.484	139.053			193.986	145.085
00:00:00.357	1440786948066			148.982	133.021		
00:00:00.371	1440786948080	171.484	139.053			193.986	145.085
00:00:00.374	1440786948083			148.982	133.021		
00:00:00.383	1440786948092						
00:00:00.384	1440786948093						
00:00:00.387	1440786948096	171.484	139.053			193.986	145.085
00:00:00.390	1440786948099			148.982	133.021		
00:00:00.404	1440786948113	171.484	139.053			193.986	145.085
00:00:00.407	1440786948116			148.982	133.021		
00:00:00.416	1440786948125						
00:00:00.417	1440786948126						
00:00:00.418	1440786948127						
00:00:00.421	1440786948130	171.484	139.053			193.986	145.085
00:00:00.424	1440786948133			148.982	133.021		
00:00:00.437	1440786948146	171.484	139.053			193.986	145.085
00:00:00.440	1440786948149			148.982	133.021		
00:00:00.451	1440786948160						
00:00:00.454	1440786948163	171.484	139.053			193.986	145.085
00:00:00.457	1440786948166			148.982	133.021		
00:00:00.471	1440786948180	171.484	139.053			193.986	145.085
00:00:00.474	1440786948183			148.982	133.021		
00:00:00.484	1440786948193						
00:00:00.487	1440786948196	171.484	139.053			193.986	145.085
00:00:00.490	1440786948199			148.982	133.021		
00:00:00.504	1440786948213	171.484	139.053			193.986	145.085
00:00:00.507	1440786948216			148.982	133.021		
00:00:00.517	1440786948226						
00:00:00.518	1440786948227						
00:00:00.521	1440786948230	171.484	139.053			193.986	145.085
00:00:00.524	1440786948233			148.982	133.021		
00:00:00.537	1440786948246	171.484	139.053			193.986	145.085
00:00:00.540	1440786948249			148.982	133.021		
00:00:00.550	1440786948259						
00:00:00.551	1440786948260						
00:00:00.554	1440786948263	171.484	139.053			193.986	145.085
00:00:00.557	1440786948266			148.982	133.021		
00:00:00.571	1440786948280	171.484	139.053			193.986	145.085
00:00:00.574	1440786948283			148.982	133.021		
00:00:00.584	1440786948293						
00:00:00.587	1440786948296	171.484	139.053			193.986	145.085
00:00:00.590	1440786948299			148.982	133.021		
00:00:00.604	1440786948313	171.484	139.053			193.986	145.085
00:00:00.607	1440786948316			148.982	133.021		
00:00:00.617	1440786948326						
00:00:00.618	1440786948327						
00:00:00.621	1440786948330	171.484	139.053			193.986	145.085
00:00:00.624	1440786948333			148.982	133.021		
00:00:00.637	1440786948346	171.484	139.053			193.986	145.085
00:00:00.640	1440786948349			148.982	133.021		
00:00:00.651	1440786948360						
00:00:00.654	1440786948363	171.484	139.053			193.986	145.085
00:00:00.657	1440786948366			148.982	133.021		
00:00:00.671	1440786948380	171.534	138.737			193.986	145.085
00:00:00.674	1440786948383			149.081	132.389		
00:00:00.684	1440786948393						
00:00:00.687	1440786948396	171.649	138.62			194.014	144.435
00:00:00.690	1440786948399			149.283	132.804		
00:00:00.704	1440786948413	171.783	138.642			194.14	145.099
00:00:00.707	1440786948416			149.426	132.185		
00:00:00.718	1440786948427						
00:00:00.721	1440786948430	171.786	138.602			194.186	144.489
00:00:00.724	1440786948433			149.386	132.715		
00:00:00.737	1440786948446	171.737	138.441			193.907	144.924
00:00:00.740	1440786948449			149.568	131.957		
00:00:00.751	1440786948460						
00:00:00.754	1440786948463	171.798	138.464			194.067	144.479
00:00:00.757	1440786948466			149.529	132.449		
00:00:00.771	1440786948480	171.805	138.378			194.031	144.976
00:00:00.774	1440786948483			149.58	131.78		
00:00:00.784	1440786948493						
00:00:00.787	1440786948496	171.829	138.158			193.928	144.145
00:00:00.790	1440786948499			149.731	132.171		
00:00:00.804	1440786948513	171.935	137.841			194.104	144.506
00:00:00.807	1440786948516			149.767	131.176		
00:00:00.818	1440786948527						
00:00:00.821	1440786948530	171.615	137.731			193.874	143.905
00:00:00.824	1440786948533			149.356	131.558		
00:00:00.837	1440786948546	171.489	137.315			193.336	144.079
00:00:00.840	1440786948549			149.643	130.551		
00:00:00.851	1440786948560						
00:00:00.854	1440786948563	171.64	136.773			193.629	143.151
00:00:00.857	1440786948566			149.651	130.395		
00:00:00.871	1440786948580	171.524	136.238			193.474	143.2
00:00:00.874	1440786948583			149.573	129.275		
00:00:00.884	1440786948593						
00:00:00.887	1440786948596	171.682	135.665			193.731	142.03
00:00:00.890	1440786948599			149.633	129.3		
00:00:00.904	1440786948613	171.579	135.283			193.636	142.175
00:00:00.907	1440786948616			149.522	128.391		
00:00:00.917	1440786948626						
00:00:00.918	1440786948627						
00:00:00.921	1440786948630	171.62	134.939			193.583	141.196
