rec_time	UTC	Dikablis Professional_Eye Data_Processed Data_Pupil X	Dikablis Professional_Eye Data_Processed Data_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil Y
00:00:00.016	1440786260739	177.441	130.926	157.124	125.577		
00:00:00.023	1440786260746						
00:00:00.027	1440786260750					197.758	136.274
00:00:00.032	1440786260755	177.742	130.9	157.406	124.995		
00:00:00.043	1440786260766					198.078	136.804
00:00:00.049	1440786260772	177.882	130.797	157.517	125.479		
00:00:00.056	1440786260779						
00:00:00.060	1440786260783					198.247	136.116
00:00:00.066	1440786260789	177.942	130.848	157.586	124.912		
00:00:00.077	1440786260800					198.298	136.784
00:00:00.082	1440786260805	178.024	130.821	157.555	125.482		
00:00:00.089	1440786260812						
00:00:00.093	1440786260816					198.493	136.16
00:00:00.099	1440786260822	178.108	130.806	157.637	124.976		
00:00:00.110	1440786260833					198.579	136.637
00:00:00.116	1440786260839	178.091	130.868	157.55	125.58		
00:00:00.123	1440786260846						
00:00:00.127	1440786260850					198.632	136.157
00:00:00.132	1440786260855	178.146	130.831	157.527	124.924		
00:00:00.143	1440786260866					198.765	136.739
00:00:00.149	1440786260872	178.114	130.837	157.576	125.382		
00:00:00.156	1440786260879						
00:00:00.160	1440786260883					198.652	136.292
00:00:00.166	1440786260889	178.001	130.818	157.434	124.817		
00:00:00.177	1440786260900					198.567	136.82
00:00:00.182	1440786260905	178.026	130.763	157.421	125.256		
00:00:00.189	1440786260912						
00:00:00.193	1440786260916					198.63	136.27
00:00:00.199	1440786260922	177.919	130.78	157.275	124.687		
00:00:00.210	1440786260933					198.562	136.874
00:00:00.216	1440786260939	177.892	130.713	157.231	125.209		
00:00:00.223	1440786260946						
00:00:00.227	1440786260950					198.553	136.217
00:00:00.232	1440786260955	177.915	130.601	157.241	124.509		
00:00:00.243	1440786260966					198.59	136.694
00:00:00.249	1440786260972	177.753	130.465	157.086	124.935		
00:00:00.256	1440786260979						
00:00:00.260	1440786260983					198.42	135.995
00:00:00.266	1440786260989	177.786	130.573	157.161	124.375		
00:00:00.277	1440786261000					198.411	136.77
00:00:00.282	1440786261005	177.704	130.498	157.094	124.916		
00:00:00.289	1440786261012						
00:00:00.293	1440786261016					198.314	136.08
00:00:00.299	1440786261022	177.701	130.597	157.073	124.421		
00:00:00.310	1440786261033					198.329	136.774
00:00:00.316	1440786261039	177.585	130.593	156.923	124.949		
00:00:00.322	1440786261045						
00:00:00.323	1440786261046						
00:00:00.327	1440786261050					198.247	136.238
00:00:00.332	1440786261055	177.562	130.655	157.016	124.467		
00:00:00.343	1440786261066					198.107	136.842
00:00:00.349	1440786261072	177.446	130.646	156.78	125.07		
00:00:00.356	1440786261079						
00:00:00.360	1440786261083					198.111	136.221
00:00:00.366	1440786261089	177.411	130.677	156.771	124.503		
00:00:00.377	1440786261100					198.051	136.851
00:00:00.382	1440786261105	177.322	130.776	156.658	125.161		
00:00:00.389	1440786261112						
00:00:00.393	1440786261116					197.986	136.39
