rec_time	UTC	Dikablis Professional_Eye Data_Processed Data_Pupil X	Dikablis Professional_Eye Data_Processed Data_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil Y
00:00:00.027	1440786393106	178.753	133.433	157.641	128.76		
00:00:00.031	1440786393110						
00:00:00.035	1440786393114					199.866	138.106
00:00:00.043	1440786393122	178.684	133.494	157.513	128.218		
00:00:00.051	1440786393130					199.856	138.771
00:00:00.060	1440786393139	178.723	133.515	157.528	128.815		
00:00:00.064	1440786393143						
00:00:00.068	1440786393147					199.918	138.215
00:00:00.077	1440786393156	178.73	133.549	157.591	128.295		
00:00:00.085	1440786393164					199.87	138.802
00:00:00.093	1440786393172	178.684	133.588	157.451	128.961		
00:00:00.097	1440786393176						
00:00:00.101	1440786393180					199.918	138.215
00:00:00.110	1440786393189	178.679	133.582	157.489	128.361		
00:00:00.118	1440786393197					199.87	138.802
00:00:00.127	1440786393206	178.71	133.63	157.471	128.987		
00:00:00.130	1440786393209						
00:00:00.131	1440786393210						
00:00:00.135	1440786393214					199.949	138.273
00:00:00.143	1440786393222	178.767	133.68	157.523	128.404		
00:00:00.151	1440786393230					200.01	138.956
00:00:00.160	1440786393239	178.792	133.734	157.573	129.121		
00:00:00.163	1440786393242						
00:00:00.164	1440786393243						
00:00:00.168	1440786393247					200.012	138.346
00:00:00.177	1440786393256	178.356	133.776	157.395	128.579		
00:00:00.185	1440786393264					199.317	138.974
00:00:00.193	1440786393272	177.896	133.833	156.652	129.177		
00:00:00.197	1440786393276						
00:00:00.201	1440786393280					199.141	138.489
00:00:00.210	1440786393289	178.257	133.918	157.11	128.702		
00:00:00.218	1440786393297					199.404	139.133
00:00:00.227	1440786393306	178.147	133.858	157.026	129.334		
00:00:00.230	1440786393309						
00:00:00.231	1440786393310						
00:00:00.235	1440786393314					199.267	138.381
00:00:00.243	1440786393322	178.272	133.934	157.246	128.769		
00:00:00.251	1440786393330					199.298	139.099
00:00:00.260	1440786393339	178.27	133.975	157.197	129.447		
00:00:00.263	1440786393342						
00:00:00.264	1440786393343						
00:00:00.268	1440786393347					199.343	138.504
00:00:00.277	1440786393356	178.308	133.949	157.172	128.792		
00:00:00.285	1440786393364					199.444	139.106
00:00:00.293	1440786393372	178.301	133.992	157.18	129.392		
00:00:00.296	1440786393375						
00:00:00.297	1440786393376						
00:00:00.301	1440786393380					199.423	138.591
00:00:00.310	1440786393389	178.389	133.928	157.253	128.801		
00:00:00.318	1440786393397					199.524	139.055
00:00:00.327	1440786393406	178.37	133.949	157.199	129.385		
00:00:00.330	1440786393409						
00:00:00.331	1440786393410						
00:00:00.335	1440786393414					199.542	138.513
00:00:00.343	1440786393422	178.499	133.878	157.339	128.832		
00:00:00.351	1440786393430					199.66	138.923
00:00:00.360	1440786393439	178.532	133.973	157.399	129.456		
00:00:00.363	1440786393442						
00:00:00.364	1440786393443						
00:00:00.368	1440786393447					199.665	138.49
00:00:00.377	1440786393456	178.676	133.954	157.515	128.942		
00:00:00.385	1440786393464					199.838	138.966
00:00:00.393	1440786393472	178.664	134	157.474	129.527		
00:00:00.396	1440786393475						
00:00:00.397	1440786393476						
00:00:00.401	1440786393480					199.854	138.473
00:00:00.410	1440786393489	178.782	134.03	157.601	129.047		
00:00:00.418	1440786393497					199.963	139.013
00:00:00.427	1440786393506	178.799	134.093	157.668	129.598		
00:00:00.431	1440786393510						
00:00:00.435	1440786393514					199.93	138.587
00:00:00.443	1440786393522	178.811	133.989	157.641	129.086		
00:00:00.451	1440786393530					199.98	138.892
00:00:00.460	1440786393539	178.768	134.089	157.498	129.677		
00:00:00.464	1440786393543						
00:00:00.468	1440786393547					200.039	138.5
00:00:00.477	1440786393556	178.94	134.058	157.732	129.06		
00:00:00.485	1440786393564					200.148	139.056
00:00:00.493	1440786393572	178.846	134.047	157.641	129.579		
00:00:00.497	1440786393576						
00:00:00.501	1440786393580					200.051	138.515
00:00:00.510	1440786393589	178.904	134.066	157.714	129.114		
00:00:00.518	1440786393597					200.094	139.019
00:00:00.527	1440786393606	178.921	134.021	157.722	129.63		
00:00:00.530	1440786393609						
00:00:00.531	1440786393610						
00:00:00.535	1440786393614					200.12	138.411
00:00:00.543	1440786393622	178.892	133.995	157.683	128.989		
00:00:00.551	1440786393630					200.1	139.001
00:00:00.560	1440786393639	178.929	134.263	157.744	129.577		
00:00:00.563	1440786393642						
00:00:00.564	1440786393643						
