rec_time	UTC	Dikablis Professional_Eye Data_Processed Data_Pupil X	Dikablis Professional_Eye Data_Processed Data_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil X	Dikablis Professional_Eye Data_Processed Data_Right Eye_Pupil Y
00:00:00.071	1440785663573						
00:00:00.104	1440785663606						
00:00:00.134	1440785663636	181.54	128.309	161.572	127.101		
00:00:00.137	1440785663639						
00:00:00.140	1440785663642					201.509	129.516
00:00:00.150	1440785663652	181.507	127.632	161.525	126.577		
00:00:00.156	1440785663658					201.49	128.686
00:00:00.167	1440785663669	181.339	128.249	161.392	127.135		
00:00:00.171	1440785663673						
00:00:00.173	1440785663675					201.286	129.364
00:00:00.184	1440785663686	181.261	127.514	161.281	126.501		
00:00:00.190	1440785663692					201.241	128.526
00:00:00.200	1440785663702	181.179	128.032	161.182	126.954		
00:00:00.204	1440785663706						
00:00:00.206	1440785663708					201.176	129.11
00:00:00.217	1440785663719	181.023	127.33	161.05	126.327		
00:00:00.223	1440785663725					200.996	128.332
00:00:00.234	1440785663736	180.8	127.896	160.873	126.905		
00:00:00.237	1440785663739						
00:00:00.240	1440785663742					200.728	128.887
00:00:00.250	1440785663752	180.568	127.316	160.687	126.249		
00:00:00.256	1440785663758					200.45	128.383
00:00:00.267	1440785663769	180.291	127.9	160.317	126.841		
00:00:00.271	1440785663773						
00:00:00.273	1440785663775					200.264	128.958
00:00:00.284	1440785663786	180.147	127.072	160.128	125.977		
00:00:00.290	1440785663792					200.166	128.166
00:00:00.300	1440785663802	180.016	127.683	160.03	126.614		
00:00:00.304	1440785663806						
00:00:00.306	1440785663808					200.002	128.752
00:00:00.317	1440785663819	179.86	126.991	159.843	125.929		
00:00:00.323	1440785663825					199.878	128.053
00:00:00.334	1440785663836	179.798	127.631	159.711	126.577		
00:00:00.337	1440785663839						
00:00:00.340	1440785663842					199.885	128.685
00:00:00.350	1440785663852	179.838	127.015	159.744	125.941		
00:00:00.356	1440785663858					199.932	128.09
00:00:00.367	1440785663869	179.888	127.783	159.821	126.738		
00:00:00.371	1440785663873						
00:00:00.373	1440785663875					199.955	128.828
00:00:00.384	1440785663886	179.955	127.242	159.85	126.202		
00:00:00.390	1440785663892					200.061	128.281
00:00:00.400	1440785663902	180.093	128.013	159.975	126.83		
00:00:00.404	1440785663906						
00:00:00.406	1440785663908					200.21	129.196
00:00:00.417	1440785663919	180.228	127.204	160.099	126.137		
00:00:00.423	1440785663925					200.357	128.27
00:00:00.434	1440785663936	180.376	127.687	160.2	126.606		
00:00:00.437	1440785663939						
00:00:00.440	1440785663942					200.553	128.767
00:00:00.450	1440785663952	180.66	126.755	160.537	125.737		
00:00:00.456	1440785663958					200.782	127.774
00:00:00.467	1440785663969	180.879	127.174	160.776	126.135		
00:00:00.471	1440785663973						
00:00:00.473	1440785663975					200.981	128.214
00:00:00.484	1440785663986	181.099	126.634	161.145	125.468		
00:00:00.490	1440785663992					201.054	127.801
00:00:00.500	1440785664002	181.467	127.261	161.546	126.038		
00:00:00.504	1440785664006						
00:00:00.506	1440785664008					201.387	128.483
00:00:00.517	1440785664019	181.935	126.426	161.995	125.132		
00:00:00.523	1440785664025					201.875	127.72
00:00:00.534	1440785664036	182.276	126.787	162.214	125.494		
00:00:00.537	1440785664039						
00:00:00.540	1440785664042					202.338	128.079
00:00:00.550	1440785664052	182.336	126.155	162.336	124.844		
00:00:00.556	1440785664058					202.336	127.467
00:00:00.567	1440785664069	182.466	126.902	162.475	125.504		
00:00:00.571	1440785664073						
00:00:00.573	1440785664075					202.456	128.3
00:00:00.584	1440785664086	182.658	126.624	162.618	125.098		
00:00:00.590	1440785664092					202.699	128.149
00:00:00.600	1440785664102	182.742	127.829	162.769	126.199		
00:00:00.604	1440785664106						
00:00:00.606	1440785664108					202.715	129.459
00:00:00.617	1440785664119	162.89	125.539	162.89	125.539		
00:00:00.623	1440785664125					0	0
00:00:00.634	1440785664136	0	0	0	0		
00:00:00.637	1440785664139						
00:00:00.640	1440785664142	199.594	130.691			199.594	130.691
00:00:00.650	1440785664152	0	0	0	0		
00:00:00.656	1440785664158					0	0
00:00:00.667	1440785664169	0	0	0	0		
00:00:00.671	1440785664173						
00:00:00.673	1440785664175	180.395	128.482			200.95	129.75
00:00:00.684	1440785664186	0	0	159.84	127.214		
00:00:00.690	1440785664192	181.285	128.083			201.51	129.656
00:00:00.700	1440785664202	0	0	161.061	126.509		
00:00:00.704	1440785664206						
00:00:00.706	1440785664208	181.472	128.277			201.673	130.74
00:00:00.717	1440785664219	0	0	161.27	125.813		
00:00:00.723	1440785664225	181.715	128.378			201.79	129.894
00:00:00.734	1440785664236	0	0	161.639	126.862		
00:00:00.737	1440785664239						
00:00:00.740	1440785664242	181.667	128.294			201.868	130.338
00:00:00.750	1440785664252	0	0	161.467	126.25		
00:00:00.756	1440785664258	181.673	128.346			202.007	129.524
00:00:00.767	1440785664269	0	0	161.34	127.168		
00:00:00.771	1440785664273						
00:00:00.773	1440785664275	181.728	128.304			202.034	129.979
00:00:00.784	1440785664286	0	0	161.421	126.629		
00:00:00.790	1440785664292	181.924	128.25			202.333	129.091
00:00:00.800	1440785664302	0	0	161.514	127.408		
00:00:00.804	1440785664306						
00:00:00.806	1440785664308	182.008	128.215			202.481	129.635
00:00:00.817	1440785664319	0	0	161.535	126.795		
00:00:00.823	1440785664325	182.084	128.065			202.539	128.798
00:00:00.834	1440785664336	0	0	161.628	127.332		
00:00:00.837	1440785664339						
00:00:00.840	1440785664342	182.193	127.918			202.658	129.421
00:00:00.850	1440785664352	0	0	161.729	126.415		
00:00:00.856	1440785664358	182.18	127.613			202.618	128.432
00:00:00.867	1440785664369	0	0	161.742	126.795		
00:00:00.871	1440785664373						
00:00:00.873	1440785664375	181.975	127.428			202.499	128.98
00:00:00.884	1440785664386	0	0	161.45	125.876		
00:00:00.890	1440785664392	181.675	127.206			202.15	128.281
00:00:00.900	1440785664402	0	0	161.201	126.13		
00:00:00.904	1440785664406						
00:00:00.906	1440785664408	181.403	127.167			201.85	128.976
00:00:00.917	1440785664419	0	0	160.955	125.358		
00:00:00.923	1440785664425	180.952	127.107			201.451	128.332
00:00:00.934	1440785664436	0	0	160.453	125.882		
00:00:00.937	1440785664439						
00:00:00.940	1440785664442	180.542	127.03			201.057	129.017
00:00:00.950	1440785664452	0	0	160.028	125.043		
00:00:00.956	1440785664458	180.098	127.009			200.673	128.436
00:00:00.967	1440785664469	0	0	159.524	125.582		
00:00:00.971	1440785664473						
00:00:00.973	1440785664475	179.74	127.091			200.359	129.173
00:00:00.984	1440785664486	0	0	159.121	125.01		
00:00:00.990	1440785664492	179.369	127.211			199.827	128.605
00:00:01.000	1440785664502	0	0	158.91	125.817		
00:00:01.004	1440785664506						
00:00:01.006	1440785664508	179.001	127.352			199.606	129.39
00:00:01.017	1440785664519	0	0	158.396	125.314		
00:00:01.023	1440785664525	178.722	127.52			199.314	128.924
00:00:01.034	1440785664536	0	0	158.131	126.116		
00:00:01.037	1440785664539						
00:00:01.040	1440785664542	178.416	127.729			199.055	129.678
00:00:01.050	1440785664552	0	0	157.777	125.781		
00:00:01.056	1440785664558	178.084	127.916			198.872	129.189
00:00:01.067	1440785664569	0	0	157.296	126.642		
00:00:01.071	1440785664573						
00:00:01.073	1440785664575	177.772	128.171			198.619	130.035
00:00:01.084	1440785664586	0	0	156.924	126.308		
00:00:01.090	1440785664592	177.491	128.307			198.385	129.526
00:00:01.100	1440785664602	0	0	156.597	127.087		
00:00:01.104	1440785664606						
00:00:01.106	1440785664608	177.158	128.489			198.082	130.314
00:00:01.117	1440785664619	0	0	156.233	126.664		
00:00:01.123	1440785664625	176.951	128.698			197.91	129.907
00:00:01.134	1440785664636	0	0	155.991	127.489		
00:00:01.137	1440785664639						
00:00:01.140	1440785664642	176.786	128.875			197.81	130.759
00:00:01.150	1440785664652	0	0	155.761	126.991		
00:00:01.156	1440785664658	176.753	128.897			197.775	130.178
00:00:01.167	1440785664669	0	0	155.731	127.616		
00:00:01.171	1440785664673						
00:00:01.173	1440785664675	176.73	129.073			197.686	130.985
00:00:01.184	1440785664686	0	0	155.774	127.162		
00:00:01.190	1440785664692	178.619	131.042			198.162	130.873
00:00:01.200	1440785664702	0	0	159.077	131.212		
00:00:01.204	1440785664706						
00:00:01.206	1440785664708	180.887	135.611			200.773	135.158
00:00:01.217	1440785664719	0	0	161.001	136.063		
00:00:01.223	1440785664725	180.665	138.684			200.55	138.744
00:00:01.234	1440785664736	0	0	160.78	138.623		
00:00:01.237	1440785664739						
00:00:01.240	1440785664742	180.855	138.849			201.106	139.899
00:00:01.250	1440785664752	0	0	160.604	137.798		
00:00:01.256	1440785664758	181.12	138.819			201.55	139.153
00:00:01.267	1440785664769	0	0	160.691	138.486		
00:00:01.271	1440785664773						
00:00:01.273	1440785664775	181.222	138.663			201.797	139.626
00:00:01.284	1440785664786	0	0	160.646	137.7		
00:00:01.290	1440785664792	181.542	138.45			202.246	138.743
00:00:01.300	1440785664802	0	0	160.838	138.158		
00:00:01.304	1440785664806						
00:00:01.306	1440785664808	181.759	138.285			202.625	139.22
00:00:01.317	1440785664819	0	0	160.893	137.35		
00:00:01.323	1440785664825	181.941	138.128			202.813	138.319
00:00:01.334	1440785664836	0	0	161.069	137.937		
00:00:01.337	1440785664839						
00:00:01.340	1440785664842	182.063	137.884			202.986	138.651
00:00:01.350	1440785664852	0	0	161.14	137.116		
00:00:01.356	1440785664858	182.208	137.746			203.214	137.843
00:00:01.367	1440785664869	0	0	161.202	137.65		
00:00:01.371	1440785664873						
00:00:01.373	1440785664875	182.294	137.502			203.321	138.259
00:00:01.384	1440785664886	0	0	161.266	136.746		
00:00:01.390	1440785664892	182.402	137.286			203.519	137.365
00:00:01.400	1440785664902	0	0	161.286	137.206		
00:00:01.404	1440785664906						
00:00:01.406	1440785664908	182.36	137.098			203.431	137.714
00:00:01.417	1440785664919	0	0	161.288	136.482		
00:00:01.423	1440785664925	182.374	136.939			203.472	136.936
00:00:01.434	1440785664936	0	0	161.275	136.942		
00:00:01.437	1440785664939						
00:00:01.440	1440785664942	182.287	136.757			203.354	137.407
00:00:01.450	1440785664952	0	0	161.22	136.106		
00:00:01.456	1440785664958	182.119	136.601			203.182	136.643
00:00:01.467	1440785664969	0	0	161.056	136.559		
00:00:01.470	1440785664972						
00:00:01.471	1440785664973						
00:00:01.473	1440785664975	182.159	136.501			203.194	137.106
00:00:01.484	1440785664986	0	0	161.124	135.896		
00:00:01.490	1440785664992	181.965	136.264			203.061	136.29
00:00:01.500	1440785665002	0	0	160.87	136.238		
00:00:01.503	1440785665005						
00:00:01.504	1440785665006						
00:00:01.506	1440785665008	181.956	136.134			203.005	136.769
00:00:01.517	1440785665019	0	0	160.907	135.5		
00:00:01.523	1440785665025	181.739	135.92			202.857	136.037
00:00:01.534	1440785665036	0	0	160.621	135.803		
00:00:01.536	1440785665038						
00:00:01.537	1440785665039						
00:00:01.540	1440785665042	181.656	135.797			202.813	136.459
00:00:01.550	1440785665052	0	0	160.499	135.134		
00:00:01.556	1440785665058	181.62	135.625			202.836	135.866
00:00:01.567	1440785665069	0	0	160.404	135.384		
00:00:01.571	1440785665073						
00:00:01.573	1440785665075	181.307	134.975			202.719	136.382
00:00:01.584	1440785665086	0	0	159.895	133.569		
00:00:01.590	1440785665092	180.854	131.739			202.233	133.899
00:00:01.600	1440785665102	0	0	159.476	129.58		
00:00:01.604	1440785665106						
00:00:01.606	1440785665108	180.026	127.471			200.422	130.712
00:00:01.617	1440785665119	0	0	159.63	124.231		
00:00:01.623	1440785665125					0	0
00:00:01.634	1440785665136	0	0	0	0		
00:00:01.637	1440785665139						
00:00:01.640	1440785665142					0	0
00:00:01.650	1440785665152	0	0	0	0		
00:00:01.656	1440785665158					0	0
00:00:01.667	1440785665169	0	0	0	0		
00:00:01.671	1440785665173						
00:00:01.673	1440785665175	178.777	120.827			198.978	123.39
00:00:01.684	1440785665186	0	0	158.575	118.265		
00:00:01.690	1440785665192	179.002	121.072			198.773	123.176
00:00:01.700	1440785665202	0	0	159.232	118.968		
00:00:01.704	1440785665206						
00:00:01.706	1440785665208	179.059	121.318			198.678	124.254
00:00:01.717	1440785665219	0	0	159.441	118.383		
00:00:01.723	1440785665225	178.995	121.218			198.518	123.474
00:00:01.734	1440785665236	0	0	159.473	118.963		
00:00:01.737	1440785665239						
00:00:01.740	1440785665242	178.963	121.238			198.508	124.138
00:00:01.750	1440785665252	0	0	159.418	118.338		
00:00:01.756	1440785665258	178.97	121.144			198.686	123.421
00:00:01.767	1440785665269	0	0	159.253	118.868		
00:00:01.770	1440785665272						
00:00:01.771	1440785665273						
00:00:01.773	1440785665275	178.906	121.165			198.644	124.052
00:00:01.784	1440785665286	0	0	159.168	118.279		
00:00:01.790	1440785665292	178.892	121.102			198.711	123.398
00:00:01.800	1440785665302	0	0	159.072	118.805		
00:00:01.804	1440785665306						
00:00:01.806	1440785665308	178.93	121.076			198.982	123.91
00:00:01.817	1440785665319	0	0	158.878	118.242		
00:00:01.823	1440785665325	178.852	121.037			198.791	123.293
00:00:01.834	1440785665336	0	0	158.913	118.782		
00:00:01.837	1440785665339						
00:00:01.840	1440785665342	178.877	121.028			198.883	123.808
00:00:01.850	1440785665352	0	0	158.872	118.248		
00:00:01.856	1440785665358	178.819	121.062			198.854	123.228
00:00:01.867	1440785665369	0	0	158.783	118.896		
00:00:01.870	1440785665372						
00:00:01.871	1440785665373						
00:00:01.873	1440785665375	178.351	121.199			198.837	123.925
00:00:01.884	1440785665386	0	0	157.865	118.473		
00:00:01.890	1440785665392	177.763	121.398			197.643	123.436
00:00:01.900	1440785665402	0	0	157.883	119.359		
00:00:01.904	1440785665406						
00:00:01.906	1440785665408	177.899	121.42			197.944	124.182
00:00:01.917	1440785665419	0	0	157.854	118.659		
00:00:01.923	1440785665425	177.775	121.53			197.835	123.57
00:00:01.934	1440785665436	0	0	157.714	119.49		
00:00:01.937	1440785665439						
00:00:01.940	1440785665442	177.796	121.775			197.858	124.457
00:00:01.950	1440785665452	0	0	157.734	119.093		
00:00:01.956	1440785665458	177.778	121.976			197.936	123.954
00:00:01.967	1440785665469	0	0	157.62	119.998		
00:00:01.970	1440785665472						
00:00:01.971	1440785665473						
00:00:01.973	1440785665475	177.658	122.136			197.846	124.683
