Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.72,94.6776,970.624,-316.791,149.788,992.019,-286.614,87.1667,972.649,-277.972,142.222,994.63,-250.298,375.334,1569.4,-352.38,336.506,1587.54,-241.588,495.445,1576.85,-337.392,543.903,1595.52
2,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.732,94.6802,970.624,-316.817,149.8,992.008,-286.632,87.179,972.634,-277.991,142.237,994.617,-250.32,375.327,1569.46,-352.361,336.557,1587.48,-241.57,495.451,1576.84,-337.357,543.913,1595.52
3,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.762,94.7176,970.598,-316.824,149.795,992,-286.649,87.1904,972.624,-277.993,142.229,994.626,-249.875,375.394,1569.15,-352.194,336.589,1587.33,-241.54,495.459,1576.83,-337.335,543.918,1595.5
4,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.776,94.731,970.582,-316.834,149.808,991.979,-286.671,87.1994,972.606,-278.01,142.245,994.599,-250.032,375.37,1569.27,-352.314,336.398,1587.49,-241.517,495.466,1576.83,-337.312,543.941,1595.5
5,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.806,94.735,970.551,-316.856,149.817,991.971,-286.686,87.1939,972.597,-278.026,142.25,994.594,-249.862,375.397,1569.14,-352.353,336.467,1587.54,-241.485,495.471,1576.81,-337.276,543.935,1595.48
6,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.826,94.7348,970.55,-316.868,149.816,991.964,-286.705,87.2006,972.584,-278.049,142.261,994.585,-249.839,375.412,1569.13,-352.289,336.575,1587.55,-241.452,495.491,1576.81,-337.246,543.947,1595.46
7,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.835,94.7497,970.526,-316.898,149.817,991.944,-286.723,87.1954,972.586,-278.063,142.248,994.563,-249.873,375.415,1569.15,-352.214,336.604,1587.48,-241.432,495.486,1576.8,-337.223,543.958,1595.44
8,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.854,94.7642,970.504,-316.917,149.823,991.943,-286.728,87.0184,972.738,-278.086,142.237,994.563,-250.107,375.402,1569.3,-351.66,336.679,1587.21,-241.401,495.502,1576.78,-337.197,543.966,1595.42
9,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.876,94.7535,970.487,-316.933,149.817,991.929,-286.763,87.1878,972.584,-278.102,142.231,994.556,-249.807,375.452,1569.09,-352.169,336.562,1587.48,-241.385,495.529,1576.76,-337.168,543.97,1595.4
10,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.89,94.7748,970.476,-316.958,149.834,991.911,-286.777,87.1827,972.582,-278.125,142.23,994.547,-249.771,375.451,1569.1,-352.074,336.616,1587.41,-241.336,495.533,1576.76,-337.138,543.978,1595.4
11,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.901,94.7758,970.474,-316.964,149.838,991.896,-286.794,87.1855,972.582,-278.145,142.23,994.552,-249.768,375.468,1569.09,-351.981,336.711,1587.32,-241.325,495.554,1576.74,-337.109,543.982,1595.39
12,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.922,94.7816,970.471,-316.977,149.829,991.892,-286.786,87.0556,972.691,-278.159,142.241,994.533,-249.762,375.478,1569.08,-351.991,336.716,1587.39,-241.287,495.564,1576.76,-337.095,543.997,1595.37
13,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.941,94.7874,970.444,-316.995,149.846,991.883,-286.823,87.1816,972.567,-278.181,142.211,994.53,-249.707,375.489,1569.11,-351.835,336.728,1587.3,-241.245,495.581,1576.76,-337.087,544.03,1595.36
14,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.952,94.7936,970.436,-317.019,149.837,991.885,-286.839,87.1699,972.569,-278.193,142.215,994.516,-249.743,375.533,1569.1,-351.418,336.722,1587.04,-241.223,495.601,1576.77,-337.05,544.033,1595.36
15,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.975,94.7993,970.435,-317.03,149.827,991.866,-286.844,87.0551,972.653,-278.219,142.246,994.478,-249.701,375.524,1569.09,-351.73,336.753,1587.27,-241.183,495.635,1576.78,-337.034,544.058,1595.35
16,0,,,,,,,,,,,,,,,,,,,,,,,,,-325.994,94.7984,970.438,-317.045,149.834,991.846,-286.876,87.1872,972.556,-278.236,142.246,994.479,-249.694,375.55,1569.09,-351.871,336.656,1587.36,-241.17,495.639,1576.78,-337.02,544.062,1595.36
17,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.019,94.8032,970.421,-317.071,149.846,991.831,-286.894,87.1855,972.54,-278.253,142.278,994.461,-249.7,375.59,1569.08,-351.65,336.798,1587.22,-241.152,495.664,1576.79,-336.993,544.081,1595.37
18,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.043,94.8171,970.408,-317.085,149.858,991.815,-286.915,87.2053,972.531,-278.264,142.296,994.45,-249.68,375.598,1569.09,-351.685,336.813,1587.27,-241.153,495.668,1576.8,-336.992,544.094,1595.36
19,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.038,94.8267,970.396,-317.095,149.868,991.807,-286.932,87.2156,972.509,-278.275,142.282,994.459,-249.65,375.601,1569.11,-351.763,336.648,1587.36,-241.118,495.69,1576.8,-336.974,544.099,1595.37
20,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.061,94.8371,970.382,-317.112,149.884,991.795,-286.949,87.2095,972.494,-278.29,142.31,994.425,-249.629,375.615,1569.13,-351.681,336.828,1587.3,-241.095,495.707,1576.83,-336.965,544.103,1595.39
21,0,,,,,,,,,,,,,,,,,,,,,,,,,-326.074,94.842,970.351,-317.116,149.89,991.775,-286.962,87.2227,972.48,-278.308,142.306,994.416,-249.639,375.652,1569.11,-351.712,336.835,1587.32,-241.079,495.721,1576.83,-336.965,544.115,1595.39
