Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-174.938,237.816,1028.19,-176.898,154.733,982.463,-179.596,70.7888,936.882,-181.75,42.703,921.81,,,,,,,,,,,,,-547.429,198.034,821.226,-514.663,247.514,837.599,-533.919,204.97,782.798,-502.251,251.772,800.098,-527.534,370.768,1653.57,-628.121,334.61,1627.06,-519.364,490.785,1661.48,-612.353,542.238,1637.23
2,0,-174.541,237.73,1028.37,-176.619,154.692,982.589,-179.494,70.7897,936.887,-181.661,42.7115,921.816,,,,,,,,,,,,,-547.799,197.459,821.113,-515.012,247.084,837.421,-534.218,204.535,782.715,-502.569,251.277,799.906,-527.579,370.786,1653.62,-628.162,334.63,1627.1,-519.411,490.791,1661.54,-612.398,542.248,1637.25
3,0,-174.118,237.637,1028.56,-176.355,154.661,982.681,-179.345,70.8075,936.869,-181.558,42.7518,921.785,,,,,,,,,,,,,-548.157,197.023,821.029,-515.335,246.606,837.262,-534.627,204.024,782.618,-502.859,250.659,799.77,-527.605,370.785,1653.65,-628.149,334.641,1627.06,-519.451,490.787,1661.59,-612.424,542.255,1637.27
4,0,-173.675,237.549,1028.79,-176.101,154.643,982.75,-179.208,70.8178,936.842,-181.445,42.7646,921.798,,,,,,,,,,,,,-548.484,196.574,820.965,-515.584,246.158,837.135,-534.948,203.606,782.432,-503.17,250.099,799.662,-527.641,370.787,1653.7,-628.164,334.618,1627.07,-519.5,490.783,1661.64,-612.449,542.264,1637.31
5,0,-173.28,237.461,1029.02,-175.841,154.616,982.831,-179.098,70.8303,936.817,-181.367,42.7863,921.783,,,,,,,,,,,,,-548.824,196.085,820.934,-515.882,245.742,837.018,-535.326,203.103,782.396,-503.467,249.593,799.51,-527.656,370.796,1653.71,-628.209,334.608,1627.12,-519.523,490.781,1661.68,-612.479,542.273,1637.33
6,0,-172.879,237.389,1029.24,-175.58,154.568,982.931,-179.012,70.8573,936.817,-181.307,42.8494,921.768,,,,,,,,,,,,,-549.097,195.718,820.861,-516.168,245.322,836.854,-535.637,202.721,782.317,-503.776,249.167,799.362,-527.675,370.803,1653.72,-628.231,334.634,1627.11,-519.547,490.769,1661.73,-612.475,542.263,1637.35
7,0,-172.424,237.267,1029.51,-175.316,154.548,983.061,-178.944,70.9017,936.839,-181.366,42.6885,921.946,,,,,,,,,,,,,-549.411,195.388,820.813,-516.434,244.932,836.724,-536.469,201.101,782.46,-504.065,248.711,799.216,-527.685,370.804,1653.74,-628.24,334.591,1627.11,-519.563,490.772,1661.76,-612.474,542.247,1637.36
8,0,-171.949,237.16,1029.81,-175.042,154.543,983.221,-178.875,70.9637,936.864,-181.355,42.7967,921.931,,,,,,,,,,,,,-549.763,194.901,820.778,-516.676,244.572,836.607,-537.058,200.38,782.307,-504.36,248.302,799.04,-527.703,370.813,1653.76,-628.221,334.614,1627.09,-519.58,490.757,1661.79,-612.47,542.234,1637.35
9,0,-171.473,237.06,1030.15,-174.756,154.512,983.407,-178.821,71.0144,936.913,-181.357,42.8622,921.929,,,,,,,,,,,,,-550.089,194.648,820.723,-516.929,244.225,836.504,-536.762,201.507,782.1,-504.652,247.922,798.874,-527.696,370.797,1653.78,-628.258,334.61,1627.15,-519.571,490.749,1661.81,-612.453,542.218,1637.35
