Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,-559.554,-168.966,955.328,-542.543,-213.708,895.865,-554.014,-214.154,805.906,-528.437,-151.532,783.672,-266.519,149.142,962.648,-276.384,93.5803,942.365,-304.581,158.714,956.846,-314.663,103.181,936.489,-322.989,357.854,1619.63,-427.592,321.873,1613.37,-313.256,477.709,1629.73,-409.191,528.987,1626.02
2,0,,,,,,,,,,,,,-559.547,-168.966,955.304,-542.543,-213.707,895.862,-554.011,-214.147,805.901,-528.411,-151.539,783.679,-266.518,149.13,962.647,-276.352,93.6991,942.085,-304.596,158.699,956.832,-314.655,103.178,936.491,-323.01,357.822,1619.62,-427.549,321.904,1613.27,-313.261,477.669,1629.72,-409.189,528.966,1626.02
3,0,,,,,,,,,,,,,-559.555,-168.967,955.316,-542.544,-213.702,895.864,-554.012,-214.137,805.899,-528.439,-151.53,783.681,-266.533,149.123,962.646,-276.358,93.7032,942.087,-304.598,158.694,956.819,-314.679,103.01,936.599,-323.022,357.79,1619.61,-427.672,321.744,1613.34,-313.271,477.646,1629.73,-409.175,528.944,1626.03
4,0,,,,,,,,,,,,,-559.556,-168.956,955.319,-542.543,-213.7,895.864,-554.011,-214.139,805.902,-528.435,-151.524,783.678,-266.537,149.12,962.648,-276.389,93.5758,942.338,-304.611,158.691,956.819,-314.677,102.993,936.618,-323.031,357.745,1619.61,-427.557,321.849,1613.27,-313.279,477.614,1629.7,-409.197,528.902,1626.02
5,0,,,,,,,,,,,,,-559.552,-168.957,955.305,-542.54,-213.699,895.863,-554.015,-214.146,805.902,-528.422,-151.528,783.698,-266.53,149.128,962.637,-276.352,93.6898,942.092,-304.602,158.681,956.821,-314.672,103.024,936.582,-323.055,357.714,1619.59,-427.587,321.636,1613.28,-313.272,477.577,1629.69,-409.193,528.882,1626.04
6,0,,,,,,,,,,,,,-559.563,-168.958,955.311,-542.544,-213.716,895.865,-554.008,-214.158,805.905,-528.455,-151.539,783.662,-266.528,149.101,962.639,-276.337,93.6752,942.095,-304.597,158.668,956.806,-314.664,102.938,936.653,-323.067,357.693,1619.57,-427.601,321.745,1613.36,-313.286,477.533,1629.69,-409.208,528.86,1626.03
7,0,,,,,,,,,,,,,-559.552,-168.951,955.314,-542.544,-213.7,895.867,-554.012,-214.159,805.912,-528.484,-151.552,783.626,-266.523,149.099,962.635,-276.363,93.5989,942.292,-304.593,158.666,956.807,-314.665,102.964,936.608,-323.087,357.685,1619.56,-427.801,321.769,1613.52,-313.294,477.496,1629.68,-409.21,528.829,1626.02
8,0,,,,,,,,,,,,,-559.557,-168.967,955.33,-542.547,-213.711,895.874,-554.008,-214.163,805.912,-528.509,-151.551,783.612,-266.517,149.069,962.636,-276.361,93.5798,942.295,-304.595,158.648,956.8,-314.647,103.122,936.497,-323.102,357.654,1619.56,-427.762,321.815,1613.49,-313.295,477.457,1629.69,-409.204,528.813,1626.04
9,0,,,,,,,,,,,,,-559.56,-168.958,955.314,-542.559,-213.72,895.866,-554.009,-214.188,805.917,-528.518,-151.567,783.587,-266.518,149.063,962.638,-276.344,93.5934,942.264,-304.587,158.648,956.784,-314.648,102.967,936.618,-323.145,357.623,1619.55,-427.798,321.659,1613.39,-313.304,477.419,1629.72,-409.212,528.78,1626.04
10,0,,,,,,,,,,,,,-559.552,-168.943,955.329,-542.561,-213.724,895.881,-554.003,-214.183,805.917,-528.541,-151.584,783.572,-266.5,149.055,962.637,-276.309,93.6796,942.085,-304.574,158.628,956.785,-314.627,103.128,936.493,-323.166,357.593,1619.54,-427.752,321.689,1613.37,-313.295,477.391,1629.72,-409.209,528.749,1626.04
11,0,,,,,,,,,,,,,-559.539,-168.942,955.322,-542.556,-213.73,895.882,-554.011,-214.182,805.911,-528.568,-151.586,783.54,-266.503,149.031,962.635,-276.32,93.673,942.073,-304.587,158.619,956.775,-314.632,103.124,936.484,-323.185,357.585,1619.53,-427.731,321.56,1613.45,-313.292,477.362,1629.72,-409.206,528.715,1626.06
12,0,,,,,,,,,,,,,-559.539,-168.934,955.318,-542.57,-213.734,895.89,-554,-214.193,805.932,-528.606,-151.581,783.535,-266.506,149.033,962.625,-276.337,93.6186,942.199,-304.582,158.614,956.764,-314.651,102.922,936.592,-323.21,357.548,1619.54,-427.751,321.57,1613.37,-313.31,477.32,1629.73,-409.218,528.689,1626.06
13,0,,,,,,,,,,,,,-559.549,-168.942,955.327,-542.564,-213.737,895.884,-553.998,-214.187,805.933,-528.613,-151.593,783.5,-266.499,149.024,962.622,-276.319,93.6199,942.165,-304.572,158.614,956.739,-314.624,103.114,936.47,-323.221,357.534,1619.54,-427.696,321.597,1613.28,-313.33,477.277,1629.74,-409.215,528.663,1626.06
14,0,,,,,,,,,,,,,-559.534,-168.932,955.311,-542.562,-213.741,895.883,-553.998,-214.2,805.939,-528.639,-151.604,783.486,-266.513,149.017,962.62,-276.318,93.6054,942.167,-304.577,158.604,956.717,-314.616,103.109,936.454,-323.247,357.513,1619.53,-427.935,321.506,1613.6,-313.324,477.264,1629.75,-409.216,528.639,1626.08
15,0,,,,,,,,,,,,,-559.542,-168.937,955.326,-542.564,-213.745,895.883,-553.997,-214.203,805.943,-528.59,-151.619,783.527,-266.517,149.033,962.586,-276.317,93.6129,942.155,-304.585,158.577,956.687,-314.627,103.098,936.444,-323.263,357.5,1619.53,-427.669,321.482,1613.35,-313.341,477.229,1629.75,-409.213,528.61,1626.08
16,0,,,,,,,,,,,,,-559.538,-168.927,955.306,-542.569,-213.747,895.893,-554,-214.193,805.94,-528.643,-151.601,783.468,-266.519,149.032,962.573,-276.323,93.6604,942.033,-304.598,158.578,956.683,-314.631,103.101,936.434,-323.26,357.468,1619.55,-427.739,321.478,1613.32,-313.374,477.181,1629.77,-409.217,528.576,1626.08
17,0,,,,,,,,,,,,,-559.536,-168.927,955.318,-542.566,-213.735,895.886,-553.983,-214.185,805.935,-528.657,-151.599,783.464,-266.522,149.023,962.571,-276.318,93.6668,942.019,-304.597,158.598,956.662,-314.63,103.111,936.422,-323.272,357.453,1619.55,-427.795,321.457,1613.41,-313.371,477.165,1629.8,-409.218,528.559,1626.11
