Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-144.067,284.918,1113.16,-175.987,198.73,1088.09,-207.228,112.046,1062.5,-218.75,83.0127,1055.73,,,,,,,,,,,,,-546.25,204.469,816.143,-516,253.645,829.995,-538.213,208.098,778.255,-507.16,258.645,791.773,-525.226,361.144,1644.05,-629.461,333.983,1617.49,-507.864,479.856,1655.71,-596.808,538.81,1633.65
2,0,-144.658,287.681,1108.24,-175.911,201.457,1082.16,-206.868,114.89,1056.44,-217.986,84.8555,1049.48,,,,,,,,,,,,,-546.136,204.641,815.907,-516.019,253.68,829.987,-538.268,208.093,778.269,-507.208,258.683,791.766,-525.276,361.169,1644.06,-628.798,333.998,1617.46,-507.911,479.87,1655.73,-596.876,538.836,1633.66
3,0,-145.265,290.366,1103.26,-176.289,204.626,1076.59,-207.046,118.009,1049.79,-217.907,88.8421,1042.29,,,,,,,,,,,,,-546.127,204.723,815.839,-516.066,253.71,829.992,-538.4,207.272,778.271,-507.24,258.721,791.751,-525.335,361.198,1644.1,-628.866,334.004,1617.49,-507.972,479.904,1655.77,-596.946,538.863,1633.68
4,0,-145.889,293.083,1098.54,-176.688,207.544,1070.03,-207.236,121.383,1042.1,-218.359,92.5992,1034.55,,,,,,,,,,,,,-546.134,204.714,815.809,-516.096,253.736,829.985,-538.418,207.336,778.275,-507.262,258.752,791.751,-525.39,361.22,1644.12,-629.757,334.171,1617.4,-508.02,479.909,1655.83,-597.029,538.894,1633.68
5,0,-146.33,295.372,1093.57,-177.264,210.665,1063.82,-208.167,125.217,1034.39,-218.919,97.0745,1026.17,,,,,,,,,,,,,-546.017,204.61,815.751,-516.105,253.765,829.979,-538.484,207.298,778.28,-507.289,258.82,791.747,-525.436,361.256,1644.17,-628.958,334.048,1617.53,-508.065,479.944,1655.88,-597.106,538.918,1633.7
6,0,-146.546,297.816,1088.87,-177.912,213.879,1058.2,-209.223,128.718,1027.24,-220.15,100.426,1018.5,,,,,,,,,,,,,-546.361,204.323,816.29,-516.13,253.809,829.974,-538.336,208.194,778.266,-507.318,258.864,791.722,-525.494,361.293,1644.17,-629.275,334.187,1617.34,-508.132,479.945,1655.93,-597.16,538.946,1633.7
7,0,-146.571,300.124,1084.46,-178.506,216.685,1053,-210.082,132.421,1020.33,-221.146,104.186,1011.17,,,,,,,,,,,,,-546.41,204.31,816.3,-516.163,253.828,829.984,-538.389,208.201,778.268,-507.346,258.913,791.719,-525.537,361.331,1644.21,-629.038,334.083,1617.59,-508.213,479.963,1655.98,-597.224,538.955,1633.7
8,0,-146.512,302.239,1080.36,-178.831,219.42,1047.75,-210.565,135.943,1013.28,-221.799,107.736,1004.17,,,,,,,,,,,,,-546.466,204.336,816.348,-516.174,253.844,829.999,-538.489,207.563,778.27,-507.363,258.941,791.725,-525.603,361.38,1644.24,-629.067,334.162,1617.55,-508.292,479.98,1656.03,-597.286,538.98,1633.72
9,0,-146.408,304.139,1076.56,-178.736,221.797,1042.77,-210.988,138.992,1007.68,-222.562,110.759,998.606,,,,,,,,,,,,,-546.5,204.34,816.36,-516.184,253.861,829.978,-538.104,208.814,777.863,-507.394,259.011,791.707,-525.644,361.428,1644.26,-629.118,334.149,1617.58,-508.367,480.022,1656.06,-597.339,539.005,1633.72
10,0,-146.39,305.756,1073.23,-178.798,223.844,1038.44,-211.227,141.452,1002.8,-222.526,113.079,993.119,,,,,,,,,,,,,-546.462,204.471,816.219,-516.189,253.881,829.99,-538.109,208.819,777.91,-507.417,259.074,791.681,-525.68,361.458,1644.28,-629.686,334.197,1617.65,-508.456,480.063,1656.08,-597.402,539.036,1633.73
11,0,-146.388,307.246,1070.23,-178.708,225.557,1034.66,-211.146,143.328,998.608,-222.614,115.359,988.658,,,,,,,,,,,,,-546.568,204.38,816.362,-516.211,253.9,829.951,-538.165,208.636,777.819,-507.455,259.09,791.657,-525.743,361.492,1644.3,-629.256,334.165,1617.67,-508.55,480.127,1656.11,-597.459,539.067,1633.73
12,0,-146.242,308.803,1067.08,-178.695,226.965,1031.38,-211.043,145.006,994.948,-222.365,116.988,984.862,,,,,,,,,,,,,-546.627,204.409,816.35,-516.215,253.909,829.944,-538.251,208.395,777.928,-507.495,259.134,791.631,-525.78,361.54,1644.34,-629.301,334.22,1617.68,-508.634,480.181,1656.11,-597.515,539.09,1633.74
13,0,-146.136,309.811,1064.37,-178.611,228.228,1028.69,-210.99,146.193,992.101,-222.117,118.18,981.865,,,,,,,,,,,,,-546.565,204.59,816.167,-516.238,254.076,829.837,-538.301,208.451,777.952,-507.518,259.158,791.631,-525.83,361.577,1644.37,-629.314,334.135,1617.79,-508.696,480.225,1656.12,-597.575,539.105,1633.73
14,0,-146.087,310.683,1062.57,-178.489,229.065,1026.65,-210.916,147.055,989.991,-222.003,119.112,979.814,,,,,,,,,,,,,-546.603,204.623,816.148,-516.29,253.608,830.29,-538.313,208.462,777.943,-507.554,259.221,791.582,-525.87,361.63,1644.37,-629.754,334.257,1617.63,-508.743,480.259,1656.12,-597.638,539.143,1633.74
15,0,-145.919,311.42,1060.77,-178.393,229.755,1025.08,-210.791,147.763,988.609,-221.917,119.759,978.416,,,,,,,,,,,,,-546.78,204.471,816.346,-516.342,253.623,830.281,-538.287,208.787,777.797,-507.584,259.255,791.59,-525.892,361.655,1644.4,-629.409,334.219,1617.81,-508.774,480.288,1656.13,-597.656,539.158,1633.73
16,0,-145.51,312.027,1059.13,-178.09,230.293,1023.94,-210.523,148.115,987.783,-221.749,119.815,977.67,,,,,,,,,,,,,-546.682,204.658,816.135,-516.383,253.655,830.27,-538.319,208.817,777.788,-507.621,259.279,791.572,-525.927,361.694,1644.43,-629.38,334.188,1617.74,-508.823,480.323,1656.14,-597.7,539.177,1633.73
17,0,-145.012,312.467,1057.99,-177.571,230.588,1023.2,-209.83,148.198,987.578,-221.315,119.842,977.57,,,,,,,,,,,,,-546.721,204.684,816.095,-516.404,253.714,830.25,-538.398,208.539,777.851,-507.659,259.301,791.554,-525.969,361.746,1644.43,-629.426,334.233,1617.77,-508.864,480.368,1656.14,-597.736,539.204,1633.72
18,0,-144.312,312.856,1056.97,-176.686,230.649,1022.7,-208.863,147.965,987.687,-220.362,119.486,977.995,,,,,,,,,,,,,-546.737,204.701,816.069,-516.431,253.713,830.243,-538.342,208.896,777.704,-507.701,259.36,791.531,-525.987,361.778,1644.43,-629.467,334.275,1617.83,-508.894,480.409,1656.12,-597.754,539.222,1633.71
19,0,-143.476,313.049,1056.17,-175.559,230.526,1022.49,-207.32,147.433,987.926,-218.836,119.345,978.376,,,,,,,,,,,,,-546.797,204.745,816.085,-516.479,253.764,830.215,-538.383,208.76,777.765,-507.747,259.377,791.5,-526.002,361.826,1644.45,-629.45,334.269,1617.77,-508.941,480.46,1656.14,-597.792,539.255,1633.71
20,0,-142.519,313.186,1055.45,-174.075,230.261,1022.17,-205.378,146.968,988.033,-216.665,118.225,978.74,,,,,,,,,,,,,-546.832,204.785,816.075,-516.523,253.813,830.191,-538.349,208.94,777.697,-507.773,259.413,791.495,-526.011,361.869,1644.44,-629.479,334.303,1617.81,-508.969,480.508,1656.13,-597.814,539.277,1633.71
21,0,-141.419,313.259,1054.72,-172.319,229.989,1021.82,-202.983,146.175,988.079,-214.046,117.721,978.82,,,,,,,,,,,,,-546.991,204.668,816.224,-516.539,253.841,830.203,-537.838,210.408,777.616,-507.796,259.447,791.485,-526.031,361.933,1644.44,-629.423,334.361,1617.76,-508.991,480.554,1656.13,-597.843,539.305,1633.7
22,0,-140.303,313.294,1054,-170.51,229.648,1021.29,-200.306,145.511,987.829,-210.999,117.37,978.483,,,,,,,,,,,,,-547.024,204.696,816.172,-516.597,253.917,830.109,-537.855,210.481,777.577,-507.834,259.476,791.458,-526.001,361.949,1644.45,-629.417,334.38,1617.76,-509.015,480.59,1656.14,-597.847,539.343,1633.7
23,0,-139.234,313.323,1053.2,-168.724,229.413,1020.46,-197.917,144.973,987.189,-208.252,116.273,978.017,,,,,,,,,,,,,-547.043,204.752,816.112,-516.632,253.926,830.126,-537.869,210.537,777.524,-507.874,259.498,791.452,-526.026,362.004,1644.43,-629.429,334.395,1617.78,-509.008,480.64,1656.1,-597.863,539.367,1633.69
24,0,-138.17,313.356,1052.27,-167.058,229.219,1019.35,-195.685,144.628,986.19,-205.633,115.506,976.899,,,,,,,,,,,,,-547.072,204.789,816.046,-516.7,253.998,830.06,-537.887,210.595,777.478,-507.899,259.516,791.423,-526.015,362.044,1644.43,-629.406,334.386,1617.78,-509.013,480.676,1656.1,-597.873,539.406,1633.68
25,0,-137.152,313.408,1051.19,-165.606,229.215,1018.05,-193.6,144.495,984.721,-203.421,115.348,975.336,,,,,,,,,,,,,-547.108,204.814,815.987,-516.759,254.074,830.018,-537.935,210.643,777.425,-507.953,259.554,791.377,-525.973,362.053,1644.43,-629.383,334.376,1617.77,-508.999,480.707,1656.08,-597.869,539.435,1633.68
26,0,-136.235,313.457,1049.92,-164.285,229.299,1016.48,-191.96,144.63,982.649,-201.656,115.74,973.253,,,,,,,,,,,,,-547.172,204.875,816.022,-516.811,254.108,829.984,-537.951,210.678,777.405,-507.998,259.569,791.317,-525.951,362.068,1644.43,-629.378,334.367,1617.79,-508.994,480.759,1656.05,-597.865,539.464,1633.69
27,0,-135.413,313.647,1048.44,-163.109,229.652,1014.32,-190.423,145.078,980.077,-200.151,116.285,970.438,,,,,,,,,,,,,-547.207,204.915,815.941,-516.884,254.16,829.952,-538.191,210.372,777.368,-508.044,259.588,791.294,-525.909,362.099,1644.41,-629.34,334.418,1617.78,-508.975,480.784,1656.04,-597.856,539.481,1633.68
28,0,-134.514,313.966,1047.01,-161.852,230.091,1011.99,-188.91,145.793,976.736,-198.512,116.912,966.697,,,,,,,,,,,,,-547.271,204.942,815.929,-516.891,254.232,830.605,-538.272,210.361,777.344,-508.1,259.578,791.281,-525.889,362.119,1644.4,-629.677,334.508,1617.65,-508.957,480.829,1656.01,-597.837,539.509,1633.69
