
Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-277.503,242.869,981.848,-245.725,157.086,955.247,-213.766,70.7198,929.164,-203.019,42.4551,922.541,,,,,,,,,,,,,-558.618,190.139,818.183,-526.797,240.768,832.996,-545.394,197.287,778.994,-514.993,244.443,795.287,-462.068,335.807,1570.04,-569.138,312.789,1583.82,-435.354,453.613,1577.41,-523.406,515.685,1591.54
2,0,-277.461,242.923,981.788,-245.7,157.128,955.207,-213.765,70.7351,929.15,-203.069,42.426,922.22,,,,,,,,,,,,,-558.47,191.493,817.082,-527.119,240.736,832.828,-545.68,197.32,778.765,-515.27,244.414,795.071,-462.173,337.725,1572.42,-569.382,313.664,1584.88,-436.684,455.541,1580.49,-525.402,516.915,1593.5
3,0,-277.419,242.975,981.712,-245.683,157.162,955.157,-213.791,70.7403,929.141,-203.071,42.438,922.226,,,,,,,,,,,,,-558.755,191.451,816.946,-527.466,240.692,832.653,-546.211,196.719,778.562,-515.546,244.355,794.893,-462.193,339.154,1575.37,-569.151,314.375,1585.93,-438.119,457.555,1583.33,-527.445,518.093,1595.24
4,0,-277.368,243.039,981.634,-245.658,157.202,955.108,-213.797,70.743,929.123,-203.075,42.4487,922.226,,,,,,,,,,,,,-559.005,191.503,816.807,-527.706,240.644,832.55,-546.234,197.311,778.432,-515.776,244.338,794.781,-462.35,340.739,1577.67,-570.178,315.106,1587.06,-439.475,459.309,1586.05,-529.435,519.13,1597.05
5,0,-277.331,243.084,981.557,-245.633,157.227,955.059,-213.781,70.7561,929.117,-203.105,42.4581,922.226,,,,,,,,,,,,,-559.707,190.084,817.66,-527.898,240.583,832.484,-546.435,197.305,778.334,-515.989,244.313,794.664,-462.86,342.293,1580.05,-570.269,315.839,1588.16,-440.904,460.956,1588.76,-531.451,520.088,1598.69
6,0,-277.279,243.129,981.476,-245.594,157.26,955.005,-213.757,70.7784,929.094,-203.093,42.4714,922.249,,,,,,,,,,,,,-559.929,190,817.596,-528.043,240.52,832.442,-546.62,197.271,778.294,-516.167,244.288,794.618,-463.358,343.841,1582.4,-570.92,316.483,1589.33,-442.321,462.556,1591.45,-533.477,521.229,1600.26
7,0,-277.223,243.187,981.385,-245.567,157.292,954.955,-213.749,70.7905,929.075,-203.085,42.4777,922.269,,,,,,,,,,,,,-560.009,190.178,817.513,-528.138,240.535,832.427,-546.719,197.338,778.271,-516.314,244.235,794.592,-463.89,345.085,1584.79,-571.107,317.144,1590.56,-443.895,464.088,1593.96,-535.451,522.343,1601.82
8,0,-277.192,243.23,981.303,-245.515,157.349,954.89,-213.742,70.8166,929.066,-203.063,42.4955,922.277,,,,,,,,,,,,,-560.079,190.179,817.547,-528.204,240.529,832.412,-546.832,197.295,778.304,-516.435,244.253,794.597,-464.504,346.348,1587.18,-571.904,317.802,1591.71,-445.304,465.488,1596.46,-537.292,522.89,1603.23
9,0,-277.163,243.281,981.216,-245.519,157.365,954.845,-213.725,70.8379,929.065,-203.071,42.5064,922.288,,,,,,,,,,,,,-560.08,190.162,817.55,-528.249,240.55,832.445,-546.835,197.317,778.369,-516.525,244.271,794.638,-465.35,347.732,1589.5,-572.407,318.507,1593.07,-446.856,466.793,1598.93,-539.333,524.065,1604.81
10,0,-277.123,243.325,981.132,-245.475,157.431,954.786,-213.716,70.8561,929.032,-203.075,42.5165,922.292,,,,,,,,,,,,,-560.074,190.073,817.747,-528.226,240.584,832.486,-546.82,197.339,778.424,-516.548,244.302,794.688,-466.226,348.852,1591.88,-573.029,319.092,1594.28,-448.363,467.993,1601.32,-541.194,524.835,1606.06
11,0,-277.117,243.335,981.068,-245.453,157.485,954.708,-213.725,70.8443,929.016,-203.081,42.5223,922.275,,,,,,,,,,,,,-559.594,191.457,816.963,-528.204,240.635,832.579,-546.773,197.325,778.513,-516.55,244.385,794.76,-467.061,349.927,1594.1,-573.446,319.702,1595.45,-450.001,469.179,1603.59,-542.968,525.564,1607.31
12,0,-277.104,243.355,980.989,-245.477,157.444,954.706,-213.733,70.8316,929.006,-203.097,42.5189,922.275,,,,,,,,,,,,,-559.749,190.449,817.718,-528.143,240.707,832.685,-546.693,197.343,778.636,-516.492,244.48,794.867,-467.997,350.904,1596.36,-574.647,320.148,1596.57,-451.557,470.138,1605.81,-544.82,526.265,1608.55
13,0,-277.086,243.385,980.899,-245.473,157.447,954.674,-213.714,70.844,928.988,-203.11,42.5292,922.266,,,,,,,,,,,,,-559.53,190.428,817.99,-528.054,240.828,832.811,-546.589,197.346,778.793,-516.406,244.584,795.013,-469.193,351.933,1598.5,-575.535,320.785,1597.65,-453.097,471.164,1608.01,-546.564,526.882,1609.77
14,0,-277.074,243.409,980.852,-245.46,157.451,954.644,-213.722,70.8397,928.982,-203.122,42.509,922.264,,,,,,,,,,,,,-558.969,191.637,817.355,-527.92,240.993,833.013,-546.428,197.449,778.959,-516.324,244.745,795.165,-470.168,352.807,1600.61,-576.387,321.282,1598.85,-454.65,472.028,1610.21,-548.328,527.456,1610.84
