Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-274.775,246.111,977.798,-241.43,160.248,953.794,-208.637,73.6246,929.728,-198.6,44.72,921.659,,,,,,,,,,,,,-572.883,192.986,817.756,-540.772,244.6,826.556,-563.905,194.776,778.351,-531.519,246.236,788.052,-492.961,382.479,1635.71,-596.384,348.93,1617.28,-481.118,502.433,1643.17,-574.651,556.238,1625.97
2,0,-274.795,246.071,977.746,-241.435,160.213,953.764,-208.701,73.6522,929.718,-198.595,44.67,921.668,,,,,,,,,,,,,-572.77,192.978,817.691,-540.644,244.577,826.53,-563.791,194.823,778.299,-531.334,246.225,788.029,-492.81,382.358,1635.65,-596.201,348.853,1617.2,-480.912,502.295,1643.13,-574.485,556.125,1625.98
3,0,-274.811,246.033,977.691,-241.433,160.173,953.721,-208.627,73.5475,929.709,-198.58,44.648,921.671,,,,,,,,,,,,,-572.625,193.057,817.724,-540.529,244.596,826.463,-563.691,194.846,778.276,-531.2,246.191,787.988,-492.644,382.205,1635.61,-596.823,348.775,1617.18,-480.726,502.155,1643.1,-574.288,556.014,1625.98
4,0,-274.802,245.992,977.635,-241.423,160.134,953.682,-208.603,73.5088,929.688,-198.561,44.5974,921.674,,,,,,,,,,,,,-572.525,193.099,817.668,-540.384,244.558,826.446,-563.579,194.819,778.251,-531.066,246.187,787.92,-492.463,382.034,1635.55,-596.509,348.577,1617.1,-480.517,501.984,1643.07,-574.037,555.865,1625.98
5,0,-274.768,245.979,977.593,-241.394,160.106,953.66,-208.589,73.4747,929.685,-198.549,44.5649,921.657,,,,,,,,,,,,,-572.437,193.081,817.66,-540.259,244.56,826.372,-563.451,194.824,778.201,-530.933,246.176,787.88,-492.307,381.889,1635.49,-596.331,348.501,1617.09,-480.347,501.827,1643.06,-573.827,555.73,1626.01
6,0,-274.746,245.989,977.565,-241.379,160.116,953.633,-208.586,73.4913,929.663,-198.543,44.5933,921.689,,,,,,,,,,,,,-572.06,194.427,816.596,-540.123,244.568,826.358,-563.315,194.868,778.134,-530.841,246.13,787.822,-492.154,381.745,1635.42,-596.06,348.249,1617.24,-480.192,501.671,1643.04,-573.616,555.585,1626.02
7,0,-274.699,245.992,977.568,-241.364,160.118,953.621,-208.575,73.4855,929.648,-198.546,44.5918,921.687,,,,,,,,,,,,,-572.217,193.198,817.338,-540.012,244.554,826.279,-563.185,194.899,778.06,-530.743,246.09,787.793,-491.996,381.602,1635.37,-595.498,348.218,1616.98,-480.038,501.509,1643.02,-573.368,555.405,1626.03
8,0,-274.662,245.983,977.595,-241.329,160.111,953.637,-208.546,73.4699,929.645,-198.528,44.6049,921.692,,,,,,,,,,,,,-572.074,193.357,817.238,-539.853,244.585,826.231,-563.061,194.914,778.03,-530.624,246.094,787.735,-491.88,381.454,1635.31,-595.99,348.122,1616.86,-479.862,501.356,1643.01,-573.167,555.253,1626.02
9,0,-274.599,245.971,977.639,-241.289,160.097,953.662,-208.519,73.4618,929.626,-198.499,44.6245,921.69,,,,,,,,,,,,,-572.016,193.269,817.069,-539.706,244.577,826.152,-562.944,194.878,777.981,-530.568,246.08,787.664,-491.745,381.312,1635.22,-595.723,347.983,1616.89,-479.682,501.198,1642.97,-572.956,555.088,1626
