
Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-1.66967,1032.45,1019.4,6.72667,946.092,980.816,15.6747,859.274,942.521,19.4187,829.563,930.813,,,,,,,,,,,,,-531.762,203.313,830.176,-502.497,253.355,846.346,-518.501,209.305,792.459,-489.932,257.947,809.291,-509.656,373.398,1644.21,-611.559,339.541,1619.38,-499.554,492.947,1656.44,-592.199,546.471,1636.22
2,0,-1.48714,1032.37,1019.13,6.66294,946.086,980.801,15.6577,859.252,942.517,19.4017,829.566,930.809,,,,,,,,,,,,,-532.16,202.081,831.237,-502.503,253.392,846.339,-518.51,209.372,792.434,-489.948,257.993,809.269,-509.656,373.412,1644.22,-612.073,339.665,1619.15,-499.568,492.973,1656.44,-592.22,546.493,1636.23
3,0,-1.60214,1032.36,1019.13,6.59206,946.083,980.794,15.6127,859.242,942.512,19.3844,829.545,930.827,,,,,,,,,,,,,-532.12,202.286,831.12,-502.507,253.435,846.337,-518.513,209.416,792.429,-489.949,258.018,809.266,-509.682,373.44,1644.21,-612.187,339.694,1619.29,-499.589,492.999,1656.44,-592.255,546.507,1636.23
4,0,-1.71242,1032.33,1019.14,6.54453,946.067,980.788,15.5993,859.254,942.502,19.3766,829.569,930.812,,,,,,,,,,,,,-532.139,202.203,831.193,-502.511,253.496,846.335,-518.525,209.475,792.397,-489.947,258.072,809.268,-509.674,373.477,1644.2,-611.558,339.563,1619.38,-499.599,493.014,1656.44,-592.26,546.531,1636.24
5,0,-1.84598,1032.31,1019.17,6.48416,946.053,980.798,15.5828,859.237,942.526,19.3898,829.553,930.82,,,,,,,,,,,,,-532.179,202.137,831.264,-502.52,253.554,846.336,-518.521,209.551,792.387,-489.941,258.123,809.276,-509.698,373.496,1644.22,-612.147,339.706,1619.22,-499.621,493.041,1656.46,-592.289,546.551,1636.25
6,0,-1.99296,1032.29,1019.22,6.38847,946.054,980.836,15.585,859.233,942.504,19.3538,829.565,930.82,,,,,,,,,,,,,-532.101,202.431,831.085,-502.522,253.601,846.317,-518.55,209.6,792.398,-489.962,258.213,809.254,-509.711,373.536,1644.22,-611.596,339.687,1619.41,-499.633,493.08,1656.46,-592.301,546.583,1636.25
7,0,-2.13462,1032.27,1019.28,6.31565,946.042,980.864,15.5635,859.251,942.485,19.3747,829.546,930.793,,,,,,,,,,,,,-532.198,202.268,831.245,-502.545,253.676,846.314,-518.525,209.71,792.372,-489.986,258.285,809.243,-509.719,373.578,1644.23,-612.159,339.735,1619.39,-499.646,493.103,1656.46,-592.329,546.593,1636.24
8,0,-2.24523,1032.23,1019.39,6.26771,946.032,980.905,15.5818,859.255,942.491,19.382,829.53,930.817,,,,,,,,,,,,,-532.152,202.539,831.064,-502.559,253.739,846.299,-518.521,209.767,792.386,-489.996,258.359,809.248,-509.743,373.633,1644.22,-611.649,339.735,1619.42,-499.662,493.139,1656.45,-592.338,546.622,1636.25
9,0,-2.32336,1032.21,1019.48,6.22695,946.029,980.957,15.5963,859.269,942.485,19.3993,829.575,930.782,,,,,,,,,,,,,-531.805,203.75,830.236,-502.556,253.807,846.305,-518.555,209.823,792.379,-489.996,258.425,809.242,-509.748,373.677,1644.21,-612.098,339.786,1619.31,-499.685,493.172,1656.46,-592.351,546.65,1636.24
10,0,-2.39987,1032.22,1019.58,6.18743,946.06,981.015,15.612,859.322,942.464,19.3965,829.616,930.794,,,,,,,,,,,,,-531.845,203.824,830.239,-502.57,253.891,846.304,-518.56,209.95,792.387,-489.994,258.518,809.257,-509.756,373.689,1644.22,-612.031,339.838,1619.25,-499.697,493.22,1656.44,-592.365,546.678,1636.22
11,0,-2.64623,1032.29,1019.85,6.16724,946.093,981.063,15.6367,859.372,942.483,19.3859,829.648,930.813,,,,,,,,,,,,,-531.86,203.888,830.239,-502.58,253.928,846.331,-518.569,210.008,792.375,-490.024,258.622,809.233,-509.759,373.727,1644.21,-611.976,339.919,1619.25,-499.7,493.259,1656.45,-592.378,546.719,1636.21
12,0,-2.67507,1032.32,1019.96,6.15342,946.164,981.115,15.6389,859.457,942.476,19.3824,829.743,930.809,,,,,,,,,,,,,-532.2,202.926,830.905,-502.586,253.991,846.318,-518.589,210.078,792.368,-490.024,258.671,809.233,-509.763,373.772,1644.2,-612.046,339.903,1619.32,-499.711,493.297,1656.41,-592.388,546.744,1636.2
13,0,-2.65208,1032.38,1020.02,6.13088,946.247,981.196,15.6723,859.552,942.481,19.416,829.816,930.816,,,,,,,,,,,,,-532.187,203.181,830.885,-502.603,254.068,846.32,-518.617,210.167,792.382,-490.051,258.787,809.224,-509.79,373.809,1644.2,-611.68,339.855,1619.41,-499.739,493.336,1656.39,-592.403,546.768,1636.18
14,0,-2.63337,1032.42,1020.11,6.1115,946.31,981.288,15.7042,859.632,942.471,19.4162,829.922,930.823,,,,,,,,,,,,,-532.19,203.251,830.855,-502.625,254.142,846.331,-518.621,210.272,792.379,-490.073,258.876,809.248,-509.802,373.871,1644.17,-611.712,339.872,1619.45,-499.749,493.382,1656.37,-592.407,546.808,1636.16
15,0,-2.59421,1032.5,1020.19,6.14244,946.384,981.324,15.751,859.751,942.46,19.4383,830.011,930.819,,,,,,,,,,,,,-532.187,203.335,830.831,-502.636,254.219,846.361,-518.668,210.341,792.392,-490.12,258.999,809.219,-509.816,373.895,1644.18,-611.7,339.98,1619.42,-499.776,493.422,1656.35,-592.414,546.849,1636.14
16,0,-2.57602,1032.54,1020.28,6.14169,946.449,981.399,15.7414,859.841,942.458,19.452,830.092,930.804,,,,,,,,,,,,,-532.217,203.381,830.915,-502.652,254.32,846.347,-518.671,210.471,792.382,-490.156,259.103,809.232,-509.822,373.954,1644.18,-612.092,339.994,1619.52,-499.797,493.486,1656.33,-592.444,546.89,1636.12
17,0,-2.52946,1032.59,1020.34,6.18276,946.51,981.434,15.7506,859.892,942.467,19.4507,830.128,930.835,,,,,,,,,,,,,-532.27,203.374,830.941,-502.681,254.427,846.36,-518.693,210.604,792.396,-490.171,259.215,809.257,-509.823,374.005,1644.18,-611.937,340.125,1619.29,-499.798,493.531,1656.33,-592.462,546.925,1636.12
18,0,-2.45453,1032.66,1020.37,6.20698,946.56,981.475,15.7801,859.958,942.483,19.4745,830.221,930.837,,,,,,,,,,,,,-532.274,203.345,831.01,-502.696,254.501,846.375,-518.732,210.67,792.399,-490.204,259.333,809.234,-509.816,374.048,1644.16,-611.703,340.069,1619.41,-499.798,493.583,1656.3,-592.475,546.955,1636.09
19,0,-2.38299,1032.74,1020.37,6.24385,946.631,981.475,15.7936,860.032,942.469,19.4558,830.3,930.848,,,,,,,,,,,,,-532.31,203.378,831.03,-502.721,254.593,846.427,-518.727,210.824,792.369,-490.254,259.443,809.245,-509.843,374.1,1644.16,-611.917,340.17,1619.28,-499.814,493.641,1656.29,-592.506,546.986,1636.09
20,0,-2.30505,1032.83,1020.36,6.28984,946.691,981.459,15.7981,860.089,942.474,19.4593,830.291,930.902,,,,,,,,,,,,,-532.039,204.535,830.323,-502.749,254.664,846.424,-518.756,210.964,792.332,-490.291,259.538,809.207,-509.841,374.16,1644.14,-611.679,340.158,1619.38,-499.818,493.693,1656.26,-592.514,547.037,1636.06
21,0,-2.21528,1032.93,1020.29,6.33614,946.766,981.434,15.8185,860.154,942.463,19.4666,830.38,930.925,,,,,,,,,,,,,-532.347,203.577,830.98,-502.767,254.717,846.452,-518.783,211.032,792.358,-490.333,259.633,809.175,-509.834,374.208,1644.12,-611.932,340.27,1619.29,-499.839,493.747,1656.23,-592.521,547.075,1636.05
22,0,-2.13895,1033.03,1020.22,6.37495,946.838,981.387,15.856,860.221,942.444,19.1562,829.973,931.017,,,,,,,,,,,,,-532.38,203.61,830.999,-502.789,254.795,846.442,-518.792,211.145,792.362,-490.347,259.745,809.148,-509.848,374.267,1644.1,-611.706,340.247,1619.41,-499.855,493.812,1656.21,-592.55,547.109,1636.03
23,0,-2.08908,1033.11,1020.13,6.39046,946.889,981.338,15.8602,860.251,942.453,19.1657,829.974,931.028,,,,,,,,,,,,,-532.391,203.737,831.028,-502.826,254.872,846.416,-518.789,211.277,792.322,-490.388,259.832,809.107,-509.856,374.312,1644.1,-611.952,340.341,1619.29,-499.88,493.873,1656.18,-592.565,547.15,1636.01
24,0,-2.06156,1033.17,1020.03,6.3997,946.907,981.274,15.8629,860.271,942.432,19.1538,829.988,931.045,,,,,,,,,,,,,-532.138,204.727,830.336,-502.863,254.919,846.427,-518.855,211.347,792.282,-490.437,259.921,809.068,-509.842,374.362,1644.09,-611.702,340.29,1619.4,-499.89,493.917,1656.17,-592.594,547.197,1636.01
25,0,-2.04461,1033.22,1019.94,6.40066,946.936,981.225,15.8602,860.271,942.407,19.1643,829.968,931.044,,,,,,,,,,,,,-532.158,204.795,830.331,-502.896,254.975,846.446,-518.854,211.436,792.265,-490.453,259.984,809.108,-509.868,374.397,1644.08,-612.018,340.376,1619.36,-499.914,493.967,1656.15,-592.635,547.228,1636
26,0,-1.84075,1033.22,1019.67,6.39832,946.962,981.2,15.8595,860.268,942.405,19.1555,829.957,931.054,,,,,,,,,,,,,-532.504,203.79,831.029,-502.915,255.065,846.431,-518.893,211.505,792.276,-490.471,260.043,809.124,-509.87,374.432,1644.07,-611.998,340.428,1619.32,-499.948,494.004,1656.11,-592.654,547.27,1635.98
27,0,-1.83853,1033.24,1019.6,6.40085,946.982,981.15,15.8809,860.263,942.389,19.1202,829.94,931.072,,,,,,,,,,,,,-532.441,204.131,830.953,-502.962,255.108,846.448,-518.907,211.584,792.261,-490.53,260.098,809.124,-509.881,374.49,1644.06,-612.105,340.45,1619.36,-499.982,494.046,1656.08,-592.688,547.31,1635.98
28,0,-1.81352,1033.31,1019.49,6.4046,946.993,981.094,15.8753,860.253,942.385,19.094,829.898,931.063,,,,,,,,,,,,,-532.518,203.995,831.027,-503.002,255.148,846.445,-518.935,211.661,792.259,-490.548,260.166,809.146,-509.879,374.507,1644.05,-611.716,340.452,1619.35,-500.001,494.087,1656.06,-592.726,547.353,1635.96
29,0,-1.77388,1033.37,1019.38,6.45629,947.02,980.994,15.8676,860.255,942.376,19.4706,830.417,930.945,,,,,,,,,,,,,-532.495,204.198,830.998,-503.011,255.191,846.452,-518.956,211.691,792.256,-490.585,260.19,809.154,-509.915,374.548,1644.04,-611.73,340.444,1619.36,-500.034,494.123,1656.04,-592.736,547.372,1635.93
30,0,-1.75347,1033.41,1019.29,6.47326,947.056,980.955,15.8744,860.271,942.361,19.4974,830.428,930.903,,,,,,,,,,,,,-532.306,204.984,830.345,-503.04,255.236,846.443,-518.974,211.728,792.251,-490.612,260.256,809.167,-509.926,374.575,1644.05,-611.771,340.485,1619.37,-500.044,494.149,1656.04,-592.767,547.402,1635.93
31,0,-1.73308,1033.46,1019.21,6.49157,947.078,980.878,15.8802,860.278,942.343,19.4828,830.434,930.926,,,,,,,,,,,,,-532.634,203.951,831.023,-503.07,255.28,846.451,-519.006,211.774,792.243,-490.638,260.263,809.173,-509.959,374.613,1644.04,-612.197,340.578,1619.25,-500.06,494.185,1656.04,-592.796,547.429,1635.93
32,0,-1.70161,1033.52,1019.1,6.47516,947.123,980.831,15.8862,860.308,942.316,19.4785,830.445,930.933,,,,,,,,,,,,,-532.614,204.128,830.961,-503.101,255.299,846.441,-519.071,211.791,792.242,-490.67,260.292,809.168,-509.983,374.628,1644.03,-611.85,340.499,1619.41,-500.08,494.191,1656.02,-592.811,547.447,1635.91
33,0,-1.68457,1033.57,1019.01,6.49211,947.19,980.769,15.8893,860.331,942.299,19.129,829.995,931.065,,,,,,,,,,,,,-532.378,205.014,830.341,-503.136,255.328,846.45,-519.093,211.817,792.234,-490.714,260.332,809.179,-510.018,374.66,1644.02,-611.828,340.583,1619.33,-500.115,494.199,1656.02,-592.856,547.469,1635.92
34,0,-1.6633,1033.63,1018.94,6.50801,947.222,980.711,15.8783,860.349,942.302,19.47,830.464,930.945,,,,,,,,,,,,,-532.629,204.208,831.054,-503.137,255.352,846.451,-519.116,211.805,792.24,-490.717,260.339,809.184,-510.051,374.669,1644.03,-611.868,340.604,1619.36,-500.142,494.224,1656.03,-592.883,547.481,1635.92
35,0,-1.66172,1033.65,1018.9,6.51284,947.249,980.684,15.8945,860.365,942.274,19.4825,830.47,930.948,,,,,,,,,,,,,-532.418,205.054,830.302,-503.181,255.359,846.465,-519.112,211.832,792.26,-490.739,260.344,809.186,-510.087,374.673,1644.04,-611.967,340.582,1619.43,-500.165,494.234,1656.02,-592.92,547.495,1635.92
36,0,-1.65619,1033.66,1018.89,6.51359,947.26,980.69,15.8855,860.379,942.286,19.173,830.005,931.048,,,,,,,,,,,,,-532.678,204.217,830.956,-503.207,255.361,846.483,-519.13,211.848,792.263,-490.767,260.344,809.213,-510.137,374.698,1644.02,-612.27,340.56,1619.5,-500.2,494.258,1656.03,-592.97,547.516,1635.93
37,0,-1.6558,1033.66,1018.92,6.51106,947.256,980.705,15.901,860.386,942.273,19.1554,830.02,931.043,,,,,,,,,,,,,-532.777,204.01,831.071,-503.22,255.349,846.476,-519.187,211.824,792.25,-490.774,260.337,809.222,-510.172,374.714,1644.03,-612.021,340.603,1619.4,-500.228,494.254,1656.03,-593.009,547.532,1635.94
38,0,-1.65984,1033.64,1018.97,6.52037,947.249,980.731,15.9042,860.383,942.27,19.1577,830.029,931.06,,,,,,,,,,,,,-532.777,204.126,830.977,-503.254,255.342,846.486,-519.202,211.831,792.266,-490.807,260.347,809.218,-510.244,374.742,1644,-612.116,340.595,1619.43,-500.278,494.263,1656.03,-593.031,547.539,1635.93
39,0,-1.64276,1033.61,1019.01,6.53613,947.236,980.753,15.9126,860.371,942.274,19.1636,830.03,931.082,,,,,,,,,,,,,-532.772,204.151,831.052,-503.286,255.333,846.48,-519.238,211.817,792.262,-490.818,260.311,809.24,-510.274,374.736,1644.01,-612.206,340.659,1619.27,-500.301,494.278,1656.04,-593.075,547.55,1635.93
